Motif	Factor	Evidence	Curated
M00056_2.00	ceh-16	PBM	N
M00056_2.00	vab-15	PBM	N
M00056_2.00	ceh-10	PBM	N
M00056_2.00	alr-1	PBM	N
M00056_2.00	unc-42	PBM	N
M00056_2.00	unc-4	PBM	N
M00056_2.00	ceh-8	PBM	N
M00056_2.00	ceh-17	PBM	N
M00070_2.00	sox-4	PBM	N
M00070_2.00	sox-2	PBM	N
M00070_2.00	sox-3	PBM	N
M00123_2.00	maf-1	PBM	N
M00124_2.00	crh-1	PBM	N
M00126_2.00	maf-1	PBM	N
M00134_2.00	klf-1	PBM	N
M00156_2.00	tag-97	PBM	N
M00156_2.00	elf-1	PBM	N
M00157_2.00	ets-5	PBM	N
M00157_2.00	ast-1	PBM	N
M00157_2.00	elf-1	PBM	N
M00157_2.00	ets-7	PBM	N
M00157_2.00	lin-1	PBM	N
M00158_2.00	tag-97	PBM	N
M00158_2.00	elf-1	PBM	N
M00159_2.00	elf-1	PBM	N
M00159_2.00	ets-4	PBM	N
M00160_2.00	fkh-2	PBM	N
M00164_2.00	unc-130	PBM	N
M00164_2.00	fkh-6	PBM	N
M00164_2.00	fkh-2	PBM	N
M00169_2.00	ceh-32	PBM	N
M00172_2.00	alr-1	PBM	N
M00172_2.00	ceh-1	PBM	N
M00172_2.00	ceh-8	PBM	N
M00172_2.00	ceh-17	PBM	N
M00172_2.00	unc-4	PBM	N
M00172_2.00	ceh-43	PBM	N
M00172_2.00	ttx-3	PBM	N
M00172_2.00	mls-2	PBM	N
M00172_2.00	ceh-9	PBM	N
M00172_2.00	unc-42	PBM	N
M00172_2.00	ceh-16	PBM	N
M00172_2.00	vab-15	PBM	N
M00172_2.00	ceh-7	PBM	N
M00172_2.00	ceh-12	PBM	N
M00172_2.00	ceh-13	PBM	N
M00172_2.00	ceh-2	PBM	N
M00172_2.00	mab-5	PBM	N
M00172_2.00	tab-1	PBM	N
M00181_2.00	nhr-85	PBM	N
M00181_2.00	unc-55	PBM	N
M00181_2.00	nhr-23	PBM	N
M00181_2.00	nhr-236	PBM	N
M00181_2.00	nhr-41	PBM	N
M00181_2.00	nhr-91	PBM	N
M00182_2.00	nhr-14	PBM	N
M00182_2.00	unc-55	PBM	N
M00182_2.00	nhr-64	PBM	N
M00182_2.00	nhr-69	PBM	N
M00184_2.00	nhr-41	PBM	N
M00184_2.00	nhr-23	PBM	N
M00184_2.00	unc-55	PBM	N
M00184_2.00	nhr-91	PBM	N
M00184_2.00	nhr-85	PBM	N
M00185_2.00	nhr-23	PBM	N
M00185_2.00	nhr-85	PBM	N
M00185_2.00	unc-55	PBM	N
M00185_2.00	nhr-41	PBM	N
M00185_2.00	nhr-2	PBM	N
M00185_2.00	nhr-91	PBM	N
M00197_2.00	sox-3	PBM	N
M00197_2.00	sox-4	PBM	N
M00197_2.00	sox-2	PBM	N
M00199_2.00	sox-4	PBM	N
M00199_2.00	sox-3	PBM	N
M00199_2.00	sox-2	PBM	N
M00201_2.00	sox-3	PBM	N
M00201_2.00	sox-4	PBM	N
M00201_2.00	sox-2	PBM	N
M00202_2.00	sox-2	PBM	N
M00202_2.00	sox-3	PBM	N
M00202_2.00	sox-4	PBM	N
M00203_2.00	sox-4	PBM	N
M00203_2.00	sox-3	PBM	N
M00203_2.00	sox-2	PBM	N
M00204_2.00	sox-4	PBM	N
M00204_2.00	sox-3	PBM	N
M00204_2.00	sox-2	PBM	N
M00205_2.00	sox-3	PBM	N
M00205_2.00	sox-2	PBM	N
M00205_2.00	sox-4	PBM	N
M00206_2.00	sox-3	PBM	N
M00206_2.00	sox-4	PBM	N
M00206_2.00	sox-2	PBM	N
M00208_2.00	sox-3	PBM	N
M00208_2.00	sox-2	PBM	N
M00208_2.00	sox-4	PBM	N
M00209_2.00	sox-4	PBM	N
M00209_2.00	sox-3	PBM	N
