Motif	Factor	Evidence	Curated
M00008_2.00	hmga1a	PBM	N
M00008_2.00	hmga2	PBM	N
M00045_2.00	foxj2	PBM	N
M00056_2.00	en2a	PBM	N
M00056_2.00	gbx2	PBM	N
M00056_2.00	uncx4.1	PBM	N
M00056_2.00	en2b	PBM	N
M00056_2.00	msx1b	PBM	N
M00056_2.00	prop1	PBM	N
M00056_2.00	rx2	PBM	N
M00056_2.00	prrx1b	PBM	N
M00056_2.00	uncx	PBM	N
M00056_2.00	phox2a	PBM	N
M00056_2.00	rx3	PBM	N
M00056_2.00	vsx1	PBM	N
M00056_2.00	prrx1a	PBM	N
M00056_2.00	otpb	PBM	N
M00056_2.00	alx1	PBM	N
M00056_2.00	mixl1	PBM	N
M00056_2.00	drgx	PBM	N
M00056_2.00	gbx1	PBM	N
M00056_2.00	rx1	PBM	N
M00056_2.00	phox2ba	PBM	N
M00056_2.00	shox2	PBM	N
M00056_2.00	alx4a	PBM	N
M00056_2.00	phox2bb	PBM	N
M00056_2.00	alx3	PBM	N
M00056_2.00	arxb	PBM	N
M00056_2.00	msx1a	PBM	N
M00056_2.00	en1b	PBM	N
M00056_2.00	shox	PBM	N
M00056_2.00	arxa	PBM	N
M00056_2.00	msx2b	PBM	N
M00056_2.00	en1a	PBM	N
M00056_2.00	lbx1b	PBM	N
M00056_2.00	mxtx2	PBM	N
M00056_2.00	msx3	PBM	N
M00056_2.00	otpa	PBM	N
M00056_2.00	msx2a	PBM	N
M00066_2.00	rfx4	PBM	N
M00066_2.00	rfx1a	PBM	N
M00066_2.00	rfx3	PBM	N
M00066_2.00	rfx2	PBM	N
M00066_2.00	rfx1b	PBM	N
M00070_2.00	sox3	PBM	N
M00070_2.00	sox17	PBM	N
M00070_2.00	sox9b	PBM	N
M00070_2.00	sox18	PBM	N
M00070_2.00	sox19b	PBM	N
M00070_2.00	sox8a	PBM	N
M00070_2.00	sox8b	PBM	N
M00070_2.00	sox21a	PBM	N
M00070_2.00	sox1a	PBM	N
M00070_2.00	sox13	PBM	N
M00070_2.00	sox2	PBM	N
M00070_2.00	sox14	PBM	N
M00070_2.00	sox12	PBM	N
M00070_2.00	sox32	PBM	N
M00070_2.00	sox11b	PBM	N
M00070_2.00	sox9a	PBM	N
M00070_2.00	sox4a	PBM	N
M00070_2.00	sox1b	PBM	N
M00070_2.00	sox4b	PBM	N
M00070_2.00	sox21b	PBM	N
M00070_2.00	sox7	PBM	N
M00070_2.00	sox19a	PBM	N
M00070_2.00	sox5	PBM	N
M00070_2.00	sox6	PBM	N
M00070_2.00	FQ377628.1	PBM	N
M00070_2.00	cica	PBM	N
M00070_2.00	sox11a	PBM	N
M00070_2.00	sox10	PBM	N
M00111_2.00	tfap2c	PBM	N
M00111_2.00	tfap2d	PBM	N
M00111_2.00	tfap2a	PBM	N
M00111_2.00	tfap2e	PBM	N
M00111_2.00	tfap2b	PBM	N
M00112_2.00	tfap2b	PBM	N
M00112_2.00	tfap2e	PBM	N
M00112_2.00	tfap2c	PBM	N
M00112_2.00	tfap2d	PBM	N
M00112_2.00	tfap2a	PBM	N
M00113_2.00	tfap2a	PBM	N
M00113_2.00	tfap2c	PBM	N
M00113_2.00	tfap2d	PBM	N
M00113_2.00	tfap2e	PBM	N
M00113_2.00	tfap2b	PBM	N
M00114_2.00	tfap2a	PBM	N
M00114_2.00	tfap2d	PBM	N
M00114_2.00	tfap2c	PBM	N
M00114_2.00	tfap2b	PBM	N
M00114_2.00	tfap2e	PBM	N
M00115_2.00	arid3c	PBM	N
M00115_2.00	arid3b	PBM	N
M00115_2.00	arid3a	PBM	N
M00116_2.00	zgc:77151	PBM	N
M00116_2.00	arid5b	PBM	N
M00116_2.00	arid5a	PBM	N
M00117_2.00	ascl1a	PBM	N
M00118_2.00	tcf12	PBM	N
M00118_2.00	tcf3a	PBM	N
M00118_2.00	tcf3b	PBM	N
M00119_2.00	bhlhe41	PBM	N
M00119_2.00	bhlhe40	PBM	N
M00120_2.00	myf5	PBM	N
M00120_2.00	myf6	PBM	N
M00120_2.00	myog	PBM	N
M00121_2.00	max	PBM	N
M00122_2.00	max	PBM	N
M00123_2.00	mafga	PBM	N
M00123_2.00	mafk	PBM	N
M00123_2.00	mafbb	PBM	N
M00123_2.00	nrl	PBM	N
M00123_2.00	mafb	PBM	N
M00123_2.00	mafgb	PBM	N
M00123_2.00	mafba	PBM	N
M00123_2.00	mafa	PBM	N
M00124_2.00	creb1b	PBM	N
M00124_2.00	creb1a	PBM	N
M00124_2.00	cremb	PBM	N
M00124_2.00	crema	PBM	N
M00124_2.00	atf1	PBM	N
M00125_2.00	jdp2b	PBM	N
M00125_2.00	atf3	PBM	N
M00125_2.00	jdp2a	PBM	N
M00126_2.00	mafk	PBM	N
M00126_2.00	mafga	PBM	N
M00126_2.00	mafb	PBM	N
M00126_2.00	mafa	PBM	N
M00126_2.00	mafba	PBM	N
M00126_2.00	mafbb	PBM	N
M00126_2.00	nrl	PBM	N
M00126_2.00	mafgb	PBM	N
M00132_2.00	osr2	PBM	N
M00132_2.00	osr1	PBM	N
M00133_2.00	sp4	PBM	N
M00133_2.00	sp5l	PBM	N
M00133_2.00	sp8b	PBM	N
M00133_2.00	sp8a	PBM	N
M00133_2.00	sp9	PBM	N
M00133_2.00	sp3b	PBM	N
M00133_2.00	FO704755.1	PBM	N
M00133_2.00	sp1	PBM	N
M00133_2.00	sp3a	PBM	N
M00134_2.00	klf12a	PBM	N
M00134_2.00	klf5a	PBM	N
M00134_2.00	klf3	PBM	N
M00134_2.00	klf12b	PBM	N
M00134_2.00	klf5l	PBM	N
M00134_2.00	klf7a	PBM	N
