Motif	Factor	Evidence	Curated
M00008_2.00	D1	PBM	N
M00070_2.00	Sox100B	PBM	N
M00153_2.00	E2f2	PBM	N
M00154_2.00	E2f2	PBM	N
M00160_2.00	fd68A	PBM	N
M00160_2.00	fd19B	PBM	N
M00163_2.00	fd68A	PBM	N
M00163_2.00	fd19B	PBM	N
M00164_2.00	fd19B	PBM	N
M00187_2.00	CG9727	PBM	N
M00197_2.00	Sox100B	PBM	N
M00199_2.00	Sox100B	PBM	N
M00201_2.00	Sox100B	PBM	N
M00202_2.00	Sox100B	PBM	N
M00203_2.00	Sox100B	PBM	N
M00204_2.00	Sox100B	PBM	N
M00205_2.00	Sox100B	PBM	N
M00206_2.00	Sox100B	PBM	N
M00208_2.00	Sox100B	PBM	N
M00209_2.00	Sox100B	PBM	N
M00210_2.00	Sox100B	PBM	N
M00211_2.00	Sox100B	PBM	N
M00212_2.00	Sox100B	PBM	N
M00213_2.00	Sox100B	PBM	N
M00214_2.00	Sox100B	PBM	N
M00216_2.00	Tbp	PBM	N
M00253_2.00	fd68A	PBM	N
M00255_2.00	fd68A	PBM	N
M00256_2.00	fd68A	PBM	N
M00257_2.00	fd68A	PBM	N
M00258_2.00	fd68A	PBM	N
M00259_2.00	fd68A	PBM	N
M00381_2.00	Q2PE40_DROME	PBM	N
M00391_2.00	Q2PE40_DROME	PBM	N
M00392_2.00	Q2PE40_DROME	PBM	N
M00433_2.00	Q2PE40_DROME	PBM	N
M00436_2.00	Q2PE40_DROME	PBM	N
M00442_2.00	Q2PE40_DROME	PBM	N
M00460_2.00	Q2PE40_DROME	PBM	N
M00494_2.00	Q2PE40_DROME	PBM	N
M00503_2.00	Q2PE40_DROME	PBM	N
M00517_2.00	Q2PE40_DROME	PBM	N
M00554_2.00	Abd-B	PBM	Y
M00555_2.00	Dr	PBM	Y
M00556_2.00	eve	PBM	Y
M00557_2.00	Q2PE40_DROME	PBM	N
M00557_2.00	slou	PBM	Y
M00558_2.00	Ubx	PBM	Y
M00558_2.00	Q2PE40_DROME	PBM	N
M00559_2.00	tin	PBM	Y
M00560_2.00	bap	PBM	Y
M00561_2.00	lbl	PBM	Y
M00562_2.00	Ptx1	PBM	Y
M00563_2.00	Six4	PBM	Y
M00564_2.00	lmd	PBM	Y
M00650_2.00	CG43689	PBM	N
M00656_2.00	dmrt11E	PBM	N
M00659_2.00	dmrt11E	PBM	N
M00665_2.00	fd96Cb	PBM	N
M00710_2.00	Sox100B	PBM	N
M00711_2.00	Sox100B	PBM	N
M00750_2.00	D1	PBM	N
M00751_2.00	D1	PBM	N
M00789_2.00	dmrt11E	PBM	N
M00790_2.00	fd68A	PBM	N
M00790_2.00	fd19B	PBM	N
M00791_2.00	fd19B	PBM	N
M00791_2.00	fd68A	PBM	N
M00792_2.00	fd68A	PBM	N
M00793_2.00	fd68A	PBM	N
M00796_2.00	fd19B	PBM	N
M00797_2.00	fd68A	PBM	N
M00798_2.00	fd68A	PBM	N
M00823_2.00	CG9727	PBM	N
M00826_2.00	Sox100B	PBM	N
M00827_2.00	Sox100B	PBM	N
M00828_2.00	Sox100B	PBM	N
M00829_2.00	Sox100B	PBM	N
M00830_2.00	bi	PBM	N
M00831_2.00	bi	PBM	N
M00833_2.00	bi	PBM	N
M00834_2.00	bi	PBM	N
M00835_2.00	H15	PBM	N
M00836_2.00	fd68A	PBM	N
M00837_2.00	fd68A	PBM	N
M01012_2.00	jumu	PBM	Y
M01013_2.00	CHES-1-like	PBM	Y
M01026_2.00	Sox100B	PBM	N
M01029_2.00	bi	PBM	N
M01030_2.00	bi	PBM	N
M01043_2.00	Clamp	PBM	Y
M01044_2.00	Clamp	PBM	Y
M01087_2.00	mip120	PBM	N
M01087_2.00	tomb	PBM	N
M01091_2.00	bnl	PBM	Y
M01103_2.00	D1	PBM	N
M01104_2.00	D1	PBM	N
M01105_2.00	D1	PBM	N
M01106_2.00	D1	PBM	N
M01107_2.00	D1	PBM	N
M01108_2.00	D1	PBM	N
M01207_2.00	yps	PBM	N
M01211_2.00	dmrt99B	PBM	Y
M01211_2.00	dmrt11E	PBM	N
M01225_2.00	E2f2	PBM	N
M01228_2.00	fd19B	PBM	N
M01245_2.00	Q2PE40_DROME	PBM	N
M01302_2.00	sv	PBM	Y
M01307_2.00	RunxA	PBM	N
M01307_2.00	RunxB	PBM	N
M01319_2.00	mip120	PBM	N
M01319_2.00	tomb	PBM	N
M01320_2.00	mip120	PBM	N
M01320_2.00	tomb	PBM	N
M01321_2.00	mip120	PBM	N
M01321_2.00	tomb	PBM	N
M01322_2.00	mip120	PBM	N
M01322_2.00	tomb	PBM	N
M01517_2.00	D1	PBM	N
M01567_2.00	Tbp	PBM	N
M01664_2.00	retn	PBM	Y
M01671_2.00	D1	PBM	N
M01672_2.00	D1	PBM	N
M01673_2.00	D1	PBM	N
M01674_2.00	D1	PBM	N
M01675_2.00	D1	PBM	N
M01676_2.00	D1	PBM	N
M01677_2.00	D1	PBM	N
M01678_2.00	D1	PBM	N
M01679_2.00	D1	PBM	N
M01680_2.00	D1	PBM	N
M01681_2.00	D1	PBM	N
M01682_2.00	D1	PBM	N
M01683_2.00	D1	PBM	N
M01684_2.00	D1	PBM	N
M01685_2.00	D1	PBM	N
M01686_2.00	D1	PBM	N
M01686_2.00	Xrp1	PBM	Y
M01687_2.00	D1	PBM	N
M01688_2.00	D1	PBM	N
M01689_2.00	D1	PBM	N
M01690_2.00	D1	PBM	N
M01691_2.00	D1	PBM	N
M01692_2.00	D1	PBM	N
M01693_2.00	D1	PBM	N
M01694_2.00	D1	PBM	N
M01896_2.00	dan	PBM	N
M01897_2.00	danr	PBM	Y
M01897_2.00	dan	PBM	N
M01903_2.00	yps	PBM	N
M01907_2.00	Kdm2	PBM	N
M01926_2.00	dmrt11E	PBM	N
M01927_2.00	dmrt11E	PBM	N
M01928_2.00	dmrt11E	PBM	N
M01929_2.00	dmrt11E	PBM	N
M01930_2.00	dmrt11E	PBM	N
M01931_2.00	dmrt11E	PBM	N
M01932_2.00	dmrt11E	PBM	N
M01935_2.00	dmrt11E	PBM	N
M01935_2.00	dmrt99B	PBM	Y
M01937_2.00	dmrt11E	PBM	N
M01959_2.00	E2f2	PBM	N
M01960_2.00	E2f2	PBM	N
M01961_2.00	E2f2	PBM	N
M01962_2.00	E2f2	PBM	N
M01963_2.00	E2f2	PBM	N
M01964_2.00	E2f2	PBM	N
M01965_2.00	E2f2	PBM	N
M01968_2.00	E2f2	PBM	N
M01969_2.00	E2f2	PBM	N
M01972_2.00	Ets21C	PBM	Y
M01974_2.00	fd19B	PBM	N
M01974_2.00	fd68A	PBM	N
M01976_2.00	fd68A	PBM	N
M01977_2.00	fd19B	PBM	N
M01977_2.00	fd68A	PBM	N
M01978_2.00	fd19B	PBM	N
M01978_2.00	fd68A	PBM	N
M01980_2.00	fd19B	PBM	N
M01980_2.00	fd68A	PBM	N
M01981_2.00	fd19B	PBM	N
M01981_2.00	fd68A	PBM	N
M01982_2.00	fd68A	PBM	N
M01983_2.00	fd96Cb	PBM	N
M01985_2.00	fd19B	PBM	N
M01985_2.00	fd68A	PBM	N
M01986_2.00	fd19B	PBM	N
M01986_2.00	slp1	PBM	Y
M01987_2.00	fd19B	PBM	N
M01987_2.00	fd68A	PBM	N
M01988_2.00	fd68A	PBM	N
M01988_2.00	fd19B	PBM	N
M01991_2.00	fd68A	PBM	N
M02026_2.00	gcm2	PBM	Y
M02106_2.00	Q2PE40_DROME	PBM	N
M02112_2.00	Dll	PBM	Y
M02113_2.00	bsh	PBM	Y
M02114_2.00	ems	PBM	Y
M02115_2.00	eve	PBM	Y
M02116_2.00	Lim3	PBM	Y
M02117_2.00	so	PBM	Y
M02118_2.00	zen2	PBM	Y
