Approved Symbol	EntrezGene ID
A1BG	1
A1BG-AS1	503538
A1CF	29974
A2M	2
A2M-AS1	144571
A2ML1	144568
A2ML1-AS1	100874108
A2ML1-AS2	106478979
A2MP1	3
A3GALT2	127550
A4GALT	53947
A4GNT	51146
AAAS	8086
AACS	65985
AACSP1	729522
AADAC	13
AADACL2	344752
AADACL2-AS1	101928142
AADACL3	126767
AADACL4	343066
AADACP1	201651
AADAT	51166
AAED1	195827
AAGAB	79719
AAK1	22848
AAMDC	28971
AAMP	14
AANAT	15
AAR2	25980
AARD	441376
AARS	16
AARS2	57505
AARSD1	80755
AARSP1	106480683
AASDH	132949
AASDHPPT	60496
AASS	10157
AATBC	284837
AATF	26574
AATK	9625
AATK-AS1	388428
AAVS1	17
ABALON	103021294
ABAT	18
ABCA1	19
ABCA2	20
ABCA3	21
ABCA4	24
ABCA5	23461
ABCA6	23460
ABCA7	10347
ABCA8	10351
ABCA9	10350
ABCA9-AS1	104355297
ABCA10	10349
ABCA11P	79963
ABCA12	26154
ABCA13	154664
ABCA17P	650655
ABCB1	5243
ABCB4	5244
ABCB5	340273
ABCB6	10058
ABCB7	22
ABCB8	11194
ABCB9	23457
ABCB10	23456
ABCB10P1	56476
ABCB10P3	728248
ABCB10P4	100132289
ABCB11	8647
ABCC1	4363
ABCC2	1244
ABCC3	8714
ABCC4	10257
ABCC5	10057
ABCC5-AS1	100873982
ABCC6	368
ABCC6P1	653190
ABCC6P2	730013
ABCC8	6833
ABCC9	10060
ABCC10	89845
ABCC11	85320
ABCC12	94160
ABCC13	150000
ABCD1	215
ABCD1P1	23785
ABCD1P2	26983
ABCD1P3	26982
ABCD1P4	26957
ABCD1P5	642762
ABCD2	225
ABCD3	5825
ABCD4	5826
ABCE1	6059
ABCF1	23
ABCF2	10061
ABCF2P1	344653
ABCF2P2	100422059
ABCF3	55324
ABCG1	9619
ABCG2	9429
ABCG4	64137
ABCG5	64240
ABCG8	64241
ABHD1	84696
ABHD2	11057
ABHD3	171586
ABHD4	63874
ABHD5	51099
ABHD6	57406
ABHD8	79575
ABHD10	55347
ABHD11	83451
ABHD11-AS1	171022
ABHD12	26090
ABHD12B	145447
ABHD13	84945
ABHD14A	25864
ABHD14A-ACY1	100526760
ABHD14B	84836
ABHD15	116236
ABHD15-AS1	104355133
ABHD16A	7920
ABHD16B	140701
ABHD17A	81926
ABHD17AP1	728917
ABHD17AP3	648359
ABHD17AP4	729495
ABHD17AP5	91219
ABHD17AP6	644988
ABHD17AP7	100133212
ABHD17AP8	647144
ABHD17AP9	100132251
ABHD17B	51104
ABHD17C	58489
ABHD18	80167
ABI1	10006
ABI1P1	326268
ABI2	10152
ABI3	51225
ABI3BP	25890
ABL1	25
ABL2	27
ABLIM1	3983
ABLIM2	84448
ABLIM3	22885
ABO	28
ABR	29
ABRA	137735
ABRACL	58527
ABT1	29777
ABT1P1	100420695
ABTB1	80325
ABTB2	25841
ACAA1	30
ACAA2	10449
ACACA	31
ACACB	32
ACAD8	27034
ACAD9	28976
ACAD10	80724
ACAD11	84129
ACADL	33
ACADM	34
ACADS	35
ACADSB	36
ACADVL	37
ACAN	176
ACAP1	9744
ACAP2	23527
ACAP2-IT1	100874306
ACAP3	116983
ACAT1	38
ACAT2	39
ACBD3	64746
ACBD4	79777
