Motif	Factor	Evidence	Curated
M00008_2.00	AHL9	PBM	N
M00008_2.00	AT1G19485	PBM	N
M00008_2.00	AHL6	PBM	N
M00008_2.00	AT4G21895	PBM	N
M00008_2.00	AT1G48610	PBM	N
M00153_2.00	E2FB	PBM	N
M00154_2.00	E2FB	PBM	N
M00216_2.00	TBP2	PBM	N
M00216_2.00	TBP1	PBM	N
M00662_2.00	E2FB	PBM	N
M00717_2.00	ERF110	PBM	N
M00717_2.00	ERF114	PBM	N
M00717_2.00	RAP2-6	PBM	Y
M00718_2.00	ERF15	PBM	Y
M00719_2.00	ESR2	PBM	N
M00719_2.00	ERF071	PBM	N
M00719_2.00	RAP2-2	PBM	Y
M00719_2.00	CRF5	PBM	N
M00719_2.00	CRF1	PBM	N
M00720_2.00	ERF1A	PBM	Y
M00720_2.00	ERF107	PBM	N
M00720_2.00	CRF6	PBM	N
M00720_2.00	CRF1	PBM	N
M00720_2.00	ERF114	PBM	N
M00720_2.00	CRF5	PBM	N
M00721_2.00	ERF107	PBM	N
M00721_2.00	ERF5	PBM	Y
M00721_2.00	CRF5	PBM	N
M00721_2.00	CRF1	PBM	N
M00721_2.00	CRF6	PBM	N
M00721_2.00	ERF114	PBM	N
M00722_2.00	ALC	PBM	N
M00722_2.00	BHLH66	PBM	N
M00722_2.00	PIL1	PBM	N
M00722_2.00	PIF3	PBM	Y
M00722_2.00	BHLH82	PBM	N
M00723_2.00	EIL3	PBM	Y
M00724_2.00	EIL1	PBM	Y
M00725_2.00	EIN3	PBM	Y
M00727_2.00	GATA4	PBM	Y
M00727_2.00	GATA13	PBM	N
M00727_2.00	GATA5	PBM	N
M00727_2.00	GATA2	PBM	N
M00728_2.00	HAT14	PBM	N
M00728_2.00	HAT4	PBM	N
M00728_2.00	HAT3	PBM	Y
M00728_2.00	HAT9	PBM	N
M00728_2.00	ATHB-17	PBM	N
M00729_2.00	APL	PBM	N
M00729_2.00	AT3G24120	PBM	Y
M00729_2.00	AT1G69580	PBM	N
M00730_2.00	NAC92	PBM	Y
M00731_2.00	WRKY39	PBM	N
M00731_2.00	WRKY69	PBM	N
M00731_2.00	WRKY74	PBM	N
M00731_2.00	WRKY58	PBM	N
M00731_2.00	WRKY68	PBM	N
M00731_2.00	RRS1	PBM	N
M00731_2.00	WRKY14	PBM	Y
M00731_2.00	WRKY35	PBM	N
M00731_2.00	WRKY16	PBM	N
M00732_2.00	WRKY61	PBM	N
M00732_2.00	WRKY47	PBM	Y
M00732_2.00	WRKY36	PBM	N
M00732_2.00	WRKY72	PBM	N
M00732_2.00	WRKY9	PBM	N
M00750_2.00	AT1G19485	PBM	N
M00750_2.00	AHL6	PBM	N
M00750_2.00	AT4G21895	PBM	N
M00750_2.00	AHL9	PBM	N
M00750_2.00	AT1G48610	PBM	N
M00751_2.00	AT1G48610	PBM	N
M00751_2.00	AT4G21895	PBM	N
M00751_2.00	AT1G19485	PBM	N
M00751_2.00	AHL6	PBM	N
M00751_2.00	AHL9	PBM	N
M00840_2.00	DREB1F	PBM	Y
M00841_2.00	ERF114	PBM	N
M00841_2.00	RAP2-6	PBM	Y
M00841_2.00	ERF110	PBM	N
M00842_2.00	ERF018	PBM	Y
M00842_2.00	ERF016	PBM	N
M00843_2.00	DREB3	PBM	N
M00843_2.00	ERF042	PBM	N
M00843_2.00	ERF037	PBM	Y
M00844_2.00	ERF008	PBM	Y
M00845_2.00	AP2	PBM	N
M00845_2.00	RAP2.7	PBM	Y
M00845_2.00	TOE3	PBM	N
M00846_2.00	DREB2C	PBM	Y
M00846_2.00	AT2G40350	PBM	N
M00847_2.00	ESR2	PBM	N
M00847_2.00	ERF071	PBM	N
M00847_2.00	RAP2-3	PBM	Y
M00848_2.00	ERF114	PBM	N
M00848_2.00	ERF1A	PBM	Y
M00848_2.00	CRF1	PBM	N
M00848_2.00	CRF5	PBM	N
M00848_2.00	ERF107	PBM	N
M00848_2.00	CRF6	PBM	N
M00849_2.00	CRF6	PBM	N
M00849_2.00	CRF1	PBM	N
M00849_2.00	ERF109	PBM	Y
M00849_2.00	CRF5	PBM	N
M00850_2.00	RAP2-10	PBM	Y
M00851_2.00	TOE2	PBM	Y
M00851_2.00	SNZ	PBM	N
M00852_2.00	ARF4	PBM	N
M00852_2.00	ARF11	PBM	N
M00852_2.00	ARF3	PBM	Y
M00852_2.00	ARF6	PBM	N
M00853_2.00	REM1	PBM	Y
M00854_2.00	PIL1	PBM	N
M00854_2.00	ALC	PBM	N
M00854_2.00	BHLH82	PBM	N
M00854_2.00	PIF3	PBM	Y
M00854_2.00	BHLH66	PBM	N
M00855_2.00	BZIP60	PBM	Y
M00856_2.00	TGA2	PBM	Y
M00857_2.00	ZAT2	PBM	Y
M00858_2.00	AT3G53600	PBM	Y
M00858_2.00	AT2G28710	PBM	N
M00858_2.00	ZAT8	PBM	N
M00858_2.00	ZAT11	PBM	N
M00858_2.00	ZAT3	PBM	N
M00859_2.00	AT4G35610	PBM	Y
M00860_2.00	ZAT11	PBM	N
M00860_2.00	AT2G28710	PBM	N
M00860_2.00	ZAT8	PBM	N
M00860_2.00	AT5G03510	PBM	Y
M00861_2.00	ZAT6	PBM	Y
M00861_2.00	AZF3	PBM	N
M00862_2.00	DOF2.1	PBM	N
M00862_2.00	DAG1	PBM	N
M00862_2.00	OBP2	PBM	N
M00862_2.00	AT1G28310	PBM	N
M00862_2.00	DOF1.2	PBM	N
M00862_2.00	CDF4	PBM	N
M00862_2.00	DOF4.6	PBM	N
M00862_2.00	AT1G26790	PBM	N
M00862_2.00	DOF4.1	PBM	N
M00862_2.00	DOF4.4	PBM	N
M00862_2.00	DOF5.7	PBM	Y
M00862_2.00	CDF1	PBM	N
M00863_2.00	GATA13	PBM	N
M00863_2.00	GATA5	PBM	N
M00863_2.00	GATA12	PBM	Y
M00863_2.00	GATA2	PBM	N
M00864_2.00	ATHB-14	PBM	N
M00864_2.00	ATHB-15	PBM	Y
M00864_2.00	ATHB-8	PBM	N
M00864_2.00	REV	PBM	N
M00865_2.00	HAT7	PBM	N
M00865_2.00	ATHB-12	PBM	Y
M00865_2.00	ATHB-52	PBM	N
M00866_2.00	WOX14	PBM	N
M00866_2.00	WOX1	PBM	N
M00866_2.00	WOX13	PBM	Y
M00866_2.00	WOX10	PBM	N
M00866_2.00	WOX3	PBM	N
M00866_2.00	WOX6	PBM	N
M00866_2.00	WOX5	PBM	N
M00867_2.00	AT1G27045	PBM	N
M00867_2.00	ATHB-23	PBM	N
M00867_2.00	ATHB-52	PBM	N
M00867_2.00	HAT7	PBM	N
M00867_2.00	ATHB-51	PBM	Y
M00868_2.00	HSFA7B	PBM	N
M00868_2.00	HSFA9	PBM	N
M00868_2.00	HSFA7A	PBM	N
M00868_2.00	HSFC1	PBM	Y
M00868_2.00	HSFA4C	PBM	N
M00868_2.00	HSFA2	PBM	N
M00868_2.00	HSFA5	PBM	N
M00868_2.00	HSFA8	PBM	N
M00868_2.00	HSFA1D	PBM	N
M00868_2.00	HSFA1A	PBM	N
M00868_2.00	HSFB1	PBM	N
M00868_2.00	HSFA3	PBM	N
M00869_2.00	HSFA7B	PBM	N
M00869_2.00	HSFA3	PBM	N
M00869_2.00	HSFA1A	PBM	N
M00869_2.00	HSFA5	PBM	N
M00869_2.00	HSFB1	PBM	N
M00869_2.00	HSFA7A	PBM	N
M00869_2.00	HSFA9	PBM	N
M00869_2.00	HSFA2	PBM	N
M00869_2.00	HSFB2A	PBM	Y
M00869_2.00	HSFA8	PBM	N
M00869_2.00	HSFA1D	PBM	N
M00869_2.00	HSFA4C	PBM	N
M00870_2.00	LBD16	PBM	Y
M00870_2.00	LBD20	PBM	N
M00870_2.00	LBD29	PBM	N
M00871_2.00	ATMYB69	PBM	N
M00871_2.00	MYB117	PBM	N
M00871_2.00	MYB52	PBM	Y
M00871_2.00	ATMYB54	PBM	N
M00872_2.00	ARR11	PBM	Y
M00873_2.00	ARR14	PBM	Y
M00873_2.00	MYBC1	PBM	N
M00873_2.00	BOA	PBM	N
M00873_2.00	AT3G10760	PBM	N
M00873_2.00	PCL1	PBM	N
M00874_2.00	GLK2	PBM	N
M00874_2.00	GPRI1	PBM	Y
M00875_2.00	RVE2	PBM	N
M00875_2.00	CCA1	PBM	Y
M00876_2.00	AtMYB45	PBM	N
M00876_2.00	AtMYB50	PBM	N
M00876_2.00	AtMYB53	PBM	N
M00876_2.00	AtMYB19	PBM	N
M00876_2.00	MYB55	PBM	Y
M00876_2.00	MYB86	PBM	N
M00876_2.00	MYB26	PBM	N
M00876_2.00	LAF1	PBM	N
M00876_2.00	AtMYB103	PBM	N
M00877_2.00	AtMYB103	PBM	N
M00877_2.00	MYB26	PBM	N
M00877_2.00	AtMYB50	PBM	N
M00877_2.00	MYB86	PBM	N
M00877_2.00	MYB46	PBM	Y
M00878_2.00	KAN3	PBM	N
M00878_2.00	KAN1	PBM	Y
M00879_2.00	RVE1	PBM	Y
M00879_2.00	RVE2	PBM	N
M00880_2.00	AT5G28300	PBM	Y
M00881_2.00	KAN4	PBM	Y
M00881_2.00	KAN3	PBM	N
M00882_2.00	TT2	PBM	N
M00882_2.00	MYB11	PBM	N
M00882_2.00	MYB6	PBM	N
M00882_2.00	MYB5	PBM	N
M00882_2.00	MYB8	PBM	N
M00882_2.00	MYB12	PBM	N
M00882_2.00	MYB111	PBM	Y
M00883_2.00	MYB59	PBM	Y
M00883_2.00	AtMYB79	PBM	N
M00883_2.00	MYB305	PBM	N
M00883_2.00	ATMYB48	PBM	N
M00883_2.00	ATMYB2	PBM	N
M00884_2.00	anac046	PBM	Y
M00885_2.00	NAC055	PBM	Y
M00885_2.00	RD26	PBM	N
M00886_2.00	anac058	PBM	Y
M00887_2.00	SPL13A	PBM	N
M00887_2.00	SPL1	PBM	Y
M00888_2.00	SPL7	PBM	Y
M00889_2.00	YAB5	PBM	Y
M00889_2.00	YAB2	PBM	N
M00889_2.00	YAB3	PBM	N
M00890_2.00	YAB3	PBM	N
M00890_2.00	YAB1	PBM	Y
M00890_2.00	YAB2	PBM	N
M00891_2.00	TCP6	PBM	N
M00891_2.00	TCP23	PBM	Y
