Motif	Factor	Evidence	Curated
M00008_2.00	AT2G45850	PBM	N
M00008_2.00	AT1G19485	PBM	N
M00008_2.00	AT5G62260	PBM	N
M00008_2.00	AT4G21895	PBM	N
M00008_2.00	AT1G48610	PBM	N
M00153_2.00	AT5G22220	PBM	N
M00154_2.00	AT5G22220	PBM	N
M00216_2.00	AT1G55520	PBM	N
M00216_2.00	AT3G13445	PBM	N
M00662_2.00	AT5G22220	PBM	N
M00717_2.00	AT5G50080	PBM	N
M00717_2.00	AT5G61890	PBM	N
M00717_2.00	AT1G43160	PBM	Y
M00718_2.00	AT2G31230	PBM	Y
M00719_2.00	AT1G24590	PBM	N
M00719_2.00	AT2G47520	PBM	N
M00719_2.00	AT3G14230	PBM	Y
M00719_2.00	AT2G46310	PBM	N
M00719_2.00	AT4G11140	PBM	N
M00720_2.00	AT4G17500	PBM	Y
M00720_2.00	AT5G61590	PBM	N
M00720_2.00	AT3G61630	PBM	N
M00720_2.00	AT4G11140	PBM	N
M00720_2.00	AT5G61890	PBM	N
M00720_2.00	AT2G46310	PBM	N
M00721_2.00	AT5G61590	PBM	N
M00721_2.00	AT5G47230	PBM	Y
M00721_2.00	AT2G46310	PBM	N
M00721_2.00	AT4G11140	PBM	N
M00721_2.00	AT3G61630	PBM	N
M00721_2.00	AT5G61890	PBM	N
M00722_2.00	AT5G67110	PBM	N
M00722_2.00	AT2G24260	PBM	N
M00722_2.00	AT2G46970	PBM	N
M00722_2.00	AT1G09530	PBM	Y
M00722_2.00	AT5G58010	PBM	N
M00723_2.00	AT1G73730	PBM	Y
M00724_2.00	AT2G27050	PBM	Y
M00725_2.00	AT3G20770	PBM	Y
M00727_2.00	AT3G60530	PBM	Y
M00727_2.00	AT2G28340	PBM	N
M00727_2.00	AT5G66320	PBM	N
M00727_2.00	AT2G45050	PBM	N
M00728_2.00	AT5G06710	PBM	N
M00728_2.00	AT4G16780	PBM	N
M00728_2.00	AT3G60390	PBM	Y
M00728_2.00	AT2G22800	PBM	N
M00728_2.00	AT2G01430	PBM	N
M00729_2.00	AT1G79430	PBM	N
M00729_2.00	AT3G24120	PBM	Y
M00729_2.00	AT1G69580	PBM	N
M00730_2.00	AT5G39610	PBM	Y
M00731_2.00	AT3G04670	PBM	N
M00731_2.00	AT3G58710	PBM	N
M00731_2.00	AT5G28650	PBM	N
M00731_2.00	AT3G01080	PBM	N
M00731_2.00	AT3G62340	PBM	N
M00731_2.00	AT5G45260	PBM	N
M00731_2.00	AT1G30650	PBM	Y
M00731_2.00	AT2G34830	PBM	N
M00731_2.00	AT5G45050	PBM	N
M00732_2.00	AT1G18860	PBM	N
M00732_2.00	AT4G01720	PBM	Y
M00732_2.00	AT1G69810	PBM	N
M00732_2.00	AT5G15130	PBM	N
M00732_2.00	AT1G68150	PBM	N
M00750_2.00	AT1G19485	PBM	N
M00750_2.00	AT5G62260	PBM	N
M00750_2.00	AT4G21895	PBM	N
M00750_2.00	AT2G45850	PBM	N
M00750_2.00	AT1G48610	PBM	N
M00751_2.00	AT1G48610	PBM	N
M00751_2.00	AT4G21895	PBM	N
M00751_2.00	AT1G19485	PBM	N
M00751_2.00	AT5G62260	PBM	N
M00751_2.00	AT2G45850	PBM	N
M00840_2.00	AT1G12610	PBM	Y
M00841_2.00	AT5G61890	PBM	N
M00841_2.00	AT1G43160	PBM	Y
M00841_2.00	AT5G50080	PBM	N
M00842_2.00	AT1G74930	PBM	Y
M00842_2.00	AT5G21960	PBM	N
M00843_2.00	AT5G11590	PBM	N
M00843_2.00	AT2G25820	PBM	N
M00843_2.00	AT1G77200	PBM	Y
M00844_2.00	AT2G23340	PBM	Y
M00845_2.00	AT4G36920	PBM	N
M00845_2.00	AT2G28550	PBM	Y
M00845_2.00	AT5G67180	PBM	N
M00846_2.00	AT2G40340	PBM	Y
M00846_2.00	AT2G40350	PBM	N
M00847_2.00	AT1G24590	PBM	N
M00847_2.00	AT2G47520	PBM	N
M00847_2.00	AT3G16770	PBM	Y
M00848_2.00	AT5G61890	PBM	N
M00848_2.00	AT4G17500	PBM	Y
M00848_2.00	AT4G11140	PBM	N
M00848_2.00	AT2G46310	PBM	N
M00848_2.00	AT5G61590	PBM	N
M00848_2.00	AT3G61630	PBM	N
M00849_2.00	AT3G61630	PBM	N
M00849_2.00	AT4G11140	PBM	N
M00849_2.00	AT4G34410	PBM	Y
M00849_2.00	AT2G46310	PBM	N
M00850_2.00	AT4G36900	PBM	Y
M00851_2.00	AT5G60120	PBM	Y
M00851_2.00	AT2G39250	PBM	N
M00852_2.00	AT5G60450	PBM	N
M00852_2.00	AT2G46530	PBM	N
M00852_2.00	AT2G33860	PBM	Y
M00852_2.00	AT1G30330	PBM	N
M00853_2.00	AT4G31610	PBM	Y
M00854_2.00	AT2G46970	PBM	N
M00854_2.00	AT5G67110	PBM	N
M00854_2.00	AT5G58010	PBM	N
M00854_2.00	AT1G09530	PBM	Y
M00854_2.00	AT2G24260	PBM	N
M00855_2.00	AT1G42990	PBM	Y
M00856_2.00	AT5G06950	PBM	Y
M00857_2.00	AT2G17180	PBM	Y
M00858_2.00	AT3G53600	PBM	Y
M00858_2.00	AT2G28710	PBM	N
M00858_2.00	AT3G46080	PBM	N
M00858_2.00	AT2G37430	PBM	N
M00858_2.00	AT4G35280	PBM	N
M00859_2.00	AT4G35610	PBM	Y
M00860_2.00	AT2G37430	PBM	N
M00860_2.00	AT2G28710	PBM	N
M00860_2.00	AT3G46080	PBM	N
M00860_2.00	AT5G03510	PBM	Y
M00861_2.00	AT5G04340	PBM	Y
M00861_2.00	AT5G43170	PBM	N
M00862_2.00	AT2G28510	PBM	N
M00862_2.00	AT3G61850	PBM	N
M00862_2.00	AT1G07640	PBM	N
M00862_2.00	AT1G28310	PBM	N
M00862_2.00	AT1G21340	PBM	N
M00862_2.00	AT2G34140	PBM	N
M00862_2.00	AT4G24060	PBM	N
M00862_2.00	AT1G26790	PBM	N
M00862_2.00	AT4G00940	PBM	N
M00862_2.00	AT4G21050	PBM	N
M00862_2.00	AT5G65590	PBM	Y
M00862_2.00	AT5G62430	PBM	N
M00863_2.00	AT2G28340	PBM	N
M00863_2.00	AT5G66320	PBM	N
M00863_2.00	AT5G25830	PBM	Y
M00863_2.00	AT2G45050	PBM	N
M00864_2.00	AT2G34710	PBM	N
M00864_2.00	AT1G52150	PBM	Y
M00864_2.00	AT4G32880	PBM	N
M00864_2.00	AT5G60690	PBM	N
M00865_2.00	AT5G15150	PBM	N
M00865_2.00	AT3G61890	PBM	Y
M00865_2.00	AT5G53980	PBM	N
M00866_2.00	AT1G20700	PBM	N
M00866_2.00	AT3G18010	PBM	N
M00866_2.00	AT4G35550	PBM	Y
M00866_2.00	AT1G20710	PBM	N
M00866_2.00	AT2G28610	PBM	N
M00866_2.00	AT2G01500	PBM	N
