Motif	Factor	Evidence	Curated
M00008_2.00	ENSCPOG00000013133	PBM	N
M00008_2.00	ENSCPOG00000021788	PBM	N
M00044_2.00	FOXP3	PBM	N
M00056_2.00	ENSCPOG00000005514	PBM	N
M00056_2.00	ENSCPOG00000006288	PBM	N
M00056_2.00	ALX1	PBM	N
M00056_2.00	GBX2	PBM	N
M00056_2.00	DRGX	PBM	N
M00056_2.00	PHOX2B	PBM	N
M00056_2.00	PRRX1	PBM	N
M00056_2.00	HESX1	PBM	N
M00056_2.00	PHOX2A	PBM	N
M00056_2.00	PROP1	PBM	N
M00056_2.00	GBX1	PBM	N
M00056_2.00	EN1	PBM	N
M00056_2.00	EN2	PBM	N
M00056_2.00	UNCX	PBM	N
M00056_2.00	NOBOX	PBM	N
M00056_2.00	ALX4	PBM	N
M00056_2.00	ENSCPOG00000021575	PBM	N
M00056_2.00	OTP	PBM	N
M00056_2.00	VSX1	PBM	N
M00056_2.00	ALX3	PBM	N
M00056_2.00	VSX2	PBM	N
M00056_2.00	ENSCPOG00000021930	PBM	N
M00056_2.00	ENSCPOG00000003596	PBM	N
M00056_2.00	PRRX2	PBM	N
M00056_2.00	ENSCPOG00000023400	PBM	N
M00060_2.00	HSF4	PBM	N
M00060_2.00	HSF2	PBM	N
M00066_2.00	RFX1	PBM	N
M00066_2.00	RFX2	PBM	N
M00066_2.00	RFX3	PBM	N
M00070_2.00	SOX6	PBM	N
M00070_2.00	SOX8	PBM	N
M00070_2.00	ENSCPOG00000004391	PBM	N
M00070_2.00	SOX15	PBM	N
M00070_2.00	SOX13	PBM	N
M00070_2.00	ENSCPOG00000010342	PBM	N
M00070_2.00	SOX5	PBM	N
M00070_2.00	ENSCPOG00000019926	PBM	N
M00070_2.00	ENSCPOG00000020975	PBM	N
M00070_2.00	ENSCPOG00000022456	PBM	N
M00070_2.00	ENSCPOG00000024073	PBM	N
M00070_2.00	ENSCPOG00000024123	PBM	N
M00070_2.00	SOX14	PBM	N
M00070_2.00	SOX17	PBM	N
M00070_2.00	SOX11	PBM	N
M00111_2.00	TFAP2A	PBM	N
M00111_2.00	TFAP2D	PBM	N
M00111_2.00	TFAP2C	PBM	N
M00111_2.00	TFAP2B	PBM	N
M00111_2.00	TFAP2E	PBM	N
M00112_2.00	TFAP2B	PBM	N
