Motif	Factor	Evidence	Curated
M00008_2.00	GG17392	PBM	N
M00008_2.00	GG23086	PBM	N
M00056_2.00	GG23943	PBM	N
M00056_2.00	GG23425	PBM	N
M00056_2.00	GG22770	PBM	N
M00056_2.00	GG22644	PBM	N
M00056_2.00	GG22067	PBM	N
M00056_2.00	GG11670	PBM	N
M00056_2.00	GG20822	PBM	N
M00056_2.00	GG12166	PBM	N
M00056_2.00	GG20821	PBM	N
M00056_2.00	GG24714	PBM	N
M00056_2.00	GG20068	PBM	N
M00056_2.00	GG18050	PBM	N
M00056_2.00	GG20207	PBM	N
M00056_2.00	GG19984	PBM	N
M00056_2.00	GG18493	PBM	N
M00056_2.00	GG18769	PBM	N
M00056_2.00	GG19131	PBM	N
M00056_2.00	GG24732	PBM	N
M00056_2.00	GG19028	PBM	N
M00066_2.00	GG17288	PBM	N
M00070_2.00	GG25303	PBM	N
M00070_2.00	GG23823	PBM	N
M00070_2.00	GG13734	PBM	N
M00070_2.00	GG16436	PBM	N
M00070_2.00	GG11790	PBM	N
M00070_2.00	GG13735	PBM	N
M00070_2.00	GG13733	PBM	N
M00070_2.00	GG22917	PBM	N
M00070_2.00	GG22439	PBM	N
M00112_2.00	GG16206	PBM	N
M00114_2.00	GG16206	PBM	N
M00115_2.00	GG22872	PBM	N
M00124_2.00	GG19161	PBM	N
M00125_2.00	GG12710	PBM	N
M00133_2.00	GG12363	PBM	N
M00134_2.00	GG22702	PBM	N
M00134_2.00	GG15151	PBM	N
M00153_2.00	GG21521	PBM	N
M00153_2.00	GG14417	PBM	N
M00154_2.00	GG21521	PBM	N
M00154_2.00	GG14417	PBM	N
M00156_2.00	GG15800	PBM	N
M00157_2.00	GG11319	PBM	N
M00157_2.00	GG24554	PBM	N
M00157_2.00	GG12163	PBM	N
M00157_2.00	GG24643	PBM	N
M00157_2.00	GG15322	PBM	N
M00157_2.00	GG15800	PBM	N
M00157_2.00	GG12443	PBM	N
M00158_2.00	GG15800	PBM	N
M00159_2.00	GG11574	PBM	N
M00159_2.00	GG15800	PBM	N
M00160_2.00	GG18013	PBM	N
M00160_2.00	GG24971	PBM	N
M00160_2.00	GG13935	PBM	N
M00160_2.00	GG22808	PBM	N
M00162_2.00	GG15176	PBM	N
M00162_2.00	GG12065	PBM	N
M00162_2.00	GG11359	PBM	N
M00163_2.00	GG13935	PBM	N
M00163_2.00	GG18013	PBM	N
M00164_2.00	GG14397	PBM	N
M00164_2.00	GG22808	PBM	N
M00164_2.00	GG24971	PBM	N
M00164_2.00	GG24972	PBM	N
M00164_2.00	GG15176	PBM	N
M00164_2.00	GG13233	PBM	N
M00164_2.00	GG18013	PBM	N
M00165_2.00	GG17473	PBM	N
M00165_2.00	GG16973	PBM	N
M00166_2.00	GG17473	PBM	N
M00166_2.00	GG16973	PBM	N
M00167_2.00	GG17473	PBM	N
M00167_2.00	GG16973	PBM	N
M00169_2.00	GG23326	PBM	N
M00170_2.00	GG24598	PBM	N
M00172_2.00	GG11670	PBM	N
M00172_2.00	GG20207	PBM	N
M00172_2.00	GG12502	PBM	N
M00172_2.00	GG21357	PBM	N
M00172_2.00	GG20822	PBM	N
M00172_2.00	GG20068	PBM	N
M00172_2.00	GG19984	PBM	N
M00172_2.00	GG12166	PBM	N
M00172_2.00	GG13676	PBM	N
M00172_2.00	GG24732	PBM	N
M00172_2.00	GG20821	PBM	N
M00172_2.00	GG19873	PBM	N
M00172_2.00	GG10258	PBM	N
M00172_2.00	GG10324	PBM	N
M00172_2.00	eve	PBM	N
M00172_2.00	GG23943	PBM	N
M00172_2.00	GG24714	PBM	N
M00172_2.00	GG17017	PBM	N
M00172_2.00	ftz	PBM	N
M00172_2.00	GG19028	PBM	N
M00172_2.00	GG23425	PBM	N
M00172_2.00	GG23010	PBM	N
M00172_2.00	Antp	PBM	N
M00172_2.00	GG10180	PBM	N
M00172_2.00	GG21608	PBM	N
M00172_2.00	GG17730	PBM	N
M00172_2.00	GG22815	PBM	N
M00172_2.00	GG10235	PBM	N
M00172_2.00	GG18050	PBM	N
M00172_2.00	GG22770	PBM	N
M00172_2.00	GG22644	PBM	N
M00172_2.00	GG14457	PBM	N
M00172_2.00	GG22067	PBM	N
M00172_2.00	GG22042	PBM	N
M00172_2.00	GG10269	PBM	N
M00172_2.00	GG19131	PBM	N
M00172_2.00	GG21652	PBM	N
M00172_2.00	GG14462	PBM	N
M00172_2.00	GG13695	PBM	N
M00178_2.00	GG22961	PBM	N
M00181_2.00	GG12659	PBM	N
M00181_2.00	GG25225	PBM	N
M00181_2.00	GG16168	PBM	N
M00181_2.00	GG13230	PBM	N
M00181_2.00	GG14911	PBM	N
M00181_2.00	GG15724	PBM	N
M00181_2.00	GG21557	PBM	N
M00181_2.00	GG12896	PBM	N
M00181_2.00	GG18706	PBM	N
M00182_2.00	GG11781	PBM	N
M00182_2.00	GG12659	PBM	N
M00182_2.00	GG18706	PBM	N
M00182_2.00	GG24056	PBM	N
M00183_2.00	GG14911	PBM	N
M00184_2.00	GG15724	PBM	N
M00184_2.00	GG24056	PBM	N
M00184_2.00	GG10830	PBM	N
M00184_2.00	GG25225	PBM	N
M00184_2.00	GG13230	PBM	N
M00184_2.00	GG12896	PBM	N
M00184_2.00	GG16168	PBM	N
M00184_2.00	GG18706	PBM	N
M00184_2.00	GG12659	PBM	N
M00185_2.00	GG25225	PBM	N
M00185_2.00	GG12896	PBM	N
M00185_2.00	GG18706	PBM	N
M00185_2.00	GG16168	PBM	N
M00185_2.00	GG12659	PBM	N
M00185_2.00	GG15724	PBM	N
M00185_2.00	GG13230	PBM	N
M00186_2.00	GG17288	PBM	N
M00187_2.00	GG10435	PBM	N
M00188_2.00	GG17288	PBM	N
M00193_2.00	GG16376	PBM	N
M00195_2.00	GG23823	PBM	N
M00195_2.00	GG19727	PBM	N
M00196_2.00	GG19727	PBM	N
M00197_2.00	GG22917	PBM	N
M00197_2.00	GG13735	PBM	N
M00197_2.00	GG11790	PBM	N
M00197_2.00	GG13734	PBM	N
M00197_2.00	GG25303	PBM	N
M00197_2.00	GG22439	PBM	N
M00197_2.00	GG13733	PBM	N
M00197_2.00	GG16436	PBM	N
M00198_2.00	GG16376	PBM	N
M00199_2.00	GG22439	PBM	N
M00199_2.00	GG25303	PBM	N
M00199_2.00	GG13733	PBM	N
M00199_2.00	GG22917	PBM	N
M00199_2.00	GG13734	PBM	N
M00199_2.00	GG16436	PBM	N
M00199_2.00	GG11790	PBM	N
M00199_2.00	GG13735	PBM	N
M00200_2.00	GG16376	PBM	N
M00201_2.00	GG11790	PBM	N
M00201_2.00	GG13734	PBM	N
M00201_2.00	GG16436	PBM	N
M00201_2.00	GG25303	PBM	N
M00201_2.00	GG13733	PBM	N
M00201_2.00	GG22917	PBM	N
M00201_2.00	GG22439	PBM	N
M00201_2.00	GG13735	PBM	N
M00202_2.00	GG25303	PBM	N
M00202_2.00	GG13735	PBM	N
M00202_2.00	GG16436	PBM	N
M00202_2.00	GG22917	PBM	N
M00202_2.00	GG13734	PBM	N
M00202_2.00	GG13733	PBM	N
M00202_2.00	GG22439	PBM	N
M00202_2.00	GG11790	PBM	N
M00203_2.00	GG22917	PBM	N
M00203_2.00	GG22439	PBM	N
M00203_2.00	GG25303	PBM	N
M00203_2.00	GG11790	PBM	N
M00203_2.00	GG13733	PBM	N
M00203_2.00	GG16436	PBM	N
M00203_2.00	GG13735	PBM	N
M00203_2.00	GG13734	PBM	N
M00204_2.00	GG22439	PBM	N
M00204_2.00	GG13733	PBM	N
M00204_2.00	GG25303	PBM	N
M00204_2.00	GG13734	PBM	N
M00204_2.00	GG16436	PBM	N
M00204_2.00	GG22917	PBM	N
M00204_2.00	GG13735	PBM	N
M00204_2.00	GG11790	PBM	N
M00205_2.00	GG13735	PBM	N
M00205_2.00	GG11790	PBM	N
M00205_2.00	GG13734	PBM	N
M00205_2.00	GG25303	PBM	N
M00205_2.00	GG22917	PBM	N
M00205_2.00	GG13733	PBM	N
M00205_2.00	GG22439	PBM	N
