Motif	Factor	Evidence	Curated
M00008_2.00	GA22003	PBM	N
M00056_2.00	en	PBM	N
M00056_2.00	GA10023	PBM	N
M00056_2.00	GA10035	PBM	N
M00056_2.00	GA10822	PBM	N
M00056_2.00	GA10896	PBM	N
M00056_2.00	GA13956	PBM	N
M00056_2.00	unpg	PBM	N
M00056_2.00	GA14690	PBM	N
M00056_2.00	GA15474	PBM	N
M00056_2.00	GA16115	PBM	N
M00056_2.00	GA15116	PBM	N
M00056_2.00	GA17785	PBM	N
M00056_2.00	GA30521	PBM	N
M00056_2.00	GA17327	PBM	N
M00056_2.00	GA22090	PBM	N
M00056_2.00	GA19529	PBM	N
M00056_2.00	GA23014	PBM	N
M00056_2.00	GA19478	PBM	N
M00066_2.00	GA19507	PBM	N
M00070_2.00	GA19209	PBM	N
M00070_2.00	GA30228	PBM	N
M00070_2.00	GA21052	PBM	N
M00070_2.00	GA14769	PBM	N
M00070_2.00	GA23525	PBM	N
M00070_2.00	GA10800	PBM	N
M00070_2.00	GA20281	PBM	N
M00070_2.00	GA15918	PBM	N
M00070_2.00	GA13810	PBM	N
M00112_2.00	GA28469	PBM	N
M00114_2.00	GA28469	PBM	N
M00115_2.00	GA18855	PBM	N
M00124_2.00	GA22328	PBM	N
M00125_2.00	GA10981	PBM	N
M00133_2.00	GA19045	PBM	N
M00153_2.00	GA10512	PBM	N
M00153_2.00	GA19549	PBM	N
M00154_2.00	GA10512	PBM	N
M00154_2.00	GA19549	PBM	N
M00156_2.00	Eip74EF	PBM	N
M00157_2.00	GA30133	PBM	N
M00157_2.00	GA19934	PBM	N
M00157_2.00	GA19521	PBM	N
M00157_2.00	GA16373	PBM	N
M00157_2.00	GA15514	PBM	N
M00157_2.00	GA23445	PBM	N
M00157_2.00	Eip74EF	PBM	N
M00158_2.00	Eip74EF	PBM	N
M00159_2.00	GA27000	PBM	N
M00159_2.00	Eip74EF	PBM	N
M00160_2.00	GA17601	PBM	N
M00160_2.00	GA23375	PBM	N
M00160_2.00	GA10915	PBM	N
M00160_2.00	GA14117	PBM	N
M00162_2.00	GA10002	PBM	N
M00162_2.00	GA10915	PBM	N
