Motif	Factor	Evidence	Curated
M00008_2.00	GJ10103	PBM	N
M00056_2.00	GJ17468	PBM	N
M00056_2.00	otp	PBM	N
M00056_2.00	ro	PBM	N
M00056_2.00	GJ19274	PBM	N
M00056_2.00	GJ16596	PBM	N
M00056_2.00	GJ16953	PBM	N
M00056_2.00	GJ16592	PBM	N
M00056_2.00	GJ20457	PBM	N
M00056_2.00	GJ20363	PBM	N
M00056_2.00	GJ16498	PBM	N
M00056_2.00	GJ20984	PBM	N
M00056_2.00	GJ22545	PBM	N
M00056_2.00	GJ10606	PBM	N
M00056_2.00	GJ18251	PBM	N
M00056_2.00	GJ17788	PBM	N
M00056_2.00	GJ15837	PBM	N
M00056_2.00	GJ17771	PBM	N
M00056_2.00	GJ18584	PBM	N
M00056_2.00	en	PBM	N
M00066_2.00	GJ23659	PBM	N
M00070_2.00	GJ22304	PBM	N
M00070_2.00	GJ11556	PBM	N
M00070_2.00	GJ11555	PBM	N
M00070_2.00	GJ21897	PBM	N
M00070_2.00	GJ18351	PBM	N
M00070_2.00	GJ11557	PBM	N
M00070_2.00	GJ10502	PBM	N
M00070_2.00	GJ23448	PBM	N
M00070_2.00	GJ16151	PBM	N
M00112_2.00	GJ11582	PBM	N
M00114_2.00	GJ11582	PBM	N
M00115_2.00	GJ19993	PBM	N
M00125_2.00	GJ16954	PBM	N
M00133_2.00	GJ14523	PBM	N
M00134_2.00	GJ18175	PBM	N
M00134_2.00	GJ12406	PBM	N
M00153_2.00	GJ16286	PBM	N
M00153_2.00	GJ23948	PBM	N
M00154_2.00	GJ16286	PBM	N
M00154_2.00	GJ23948	PBM	N
M00156_2.00	GJ13099	PBM	N
M00157_2.00	GJ23541	PBM	N
M00157_2.00	GJ13099	PBM	N
M00157_2.00	GJ22870	PBM	N
M00157_2.00	aop	PBM	N
M00157_2.00	GJ12736	PBM	N
M00157_2.00	GJ10451	PBM	N
M00157_2.00	GJ19705	PBM	N
M00158_2.00	GJ13099	PBM	N
M00159_2.00	GJ13099	PBM	N
M00159_2.00	GJ10475	PBM	N
M00160_2.00	GJ23621	PBM	N
M00160_2.00	GJ22399	PBM	N
M00160_2.00	GJ18555	PBM	N
M00162_2.00	fkh	PBM	N
M00162_2.00	GJ15456	PBM	N
M00162_2.00	GJ23595	PBM	N
M00163_2.00	GJ16301	PBM	N
M00163_2.00	GJ11303	PBM	N
M00164_2.00	GJ13122	PBM	N
M00164_2.00	GJ16300	PBM	N
M00164_2.00	GJ15456	PBM	N
M00164_2.00	GJ16301	PBM	N
M00164_2.00	GJ18555	PBM	N
M00164_2.00	GJ13121	PBM	N
M00164_2.00	GJ22399	PBM	N
M00165_2.00	GJ23061	PBM	N
M00165_2.00	GJ23378	PBM	N
M00166_2.00	GJ23378	PBM	N
M00166_2.00	GJ23061	PBM	N
M00167_2.00	GJ23061	PBM	N
M00167_2.00	GJ23378	PBM	N
M00169_2.00	GJ22125	PBM	N
M00170_2.00	GJ14311	PBM	N
M00172_2.00	GJ22569	PBM	N
M00172_2.00	GJ17771	PBM	N
M00172_2.00	GJ18584	PBM	N
M00172_2.00	GJ21278	PBM	N
M00172_2.00	GJ15837	PBM	N
M00172_2.00	GJ17788	PBM	N
M00172_2.00	eve	PBM	N
M00172_2.00	GJ10606	PBM	N
M00172_2.00	GJ23932	PBM	N
M00172_2.00	GJ20984	PBM	N
M00172_2.00	Antp	PBM	N
M00172_2.00	GJ22545	PBM	N
M00172_2.00	lab	PBM	N
M00172_2.00	GJ20363	PBM	N
M00172_2.00	GJ24173	PBM	N
M00172_2.00	otp	PBM	N
M00172_2.00	GJ24455	PBM	N
M00172_2.00	GJ16761	PBM	N
M00172_2.00	zen	PBM	N
M00172_2.00	GJ22550	PBM	N
M00172_2.00	GJ22013	PBM	N
M00172_2.00	GJ14677	PBM	N
M00172_2.00	GJ19274	PBM	N
M00172_2.00	GJ16596	PBM	N
M00172_2.00	GJ16592	PBM	N
M00172_2.00	GJ20457	PBM	N
M00172_2.00	GJ17468	PBM	N
M00172_2.00	GJ24446	PBM	N
M00172_2.00	GJ11617	PBM	N
M00172_2.00	GJ13893	PBM	N
M00172_2.00	en	PBM	N
M00172_2.00	GJ24443	PBM	N
M00172_2.00	GJ23937	PBM	N
M00172_2.00	ro	PBM	N
M00172_2.00	GJ24670	PBM	N
M00172_2.00	GJ17996	PBM	N
M00172_2.00	GJ18251	PBM	N
M00172_2.00	GJ23928	PBM	N
M00172_2.00	GJ23929	PBM	N
M00172_2.00	GJ23303	PBM	N
M00178_2.00	GJ21595	PBM	N
M00181_2.00	GJ13880	PBM	N
M00181_2.00	GJ14872	PBM	N
M00181_2.00	GJ13789	PBM	N
M00181_2.00	GJ11090	PBM	N
M00181_2.00	GJ17428	PBM	N
M00181_2.00	GJ16389	PBM	N
M00181_2.00	GJ13743	PBM	N
M00181_2.00	GJ20161	PBM	N
M00181_2.00	GJ12889	PBM	N
M00182_2.00	GJ17882	PBM	N
M00182_2.00	GJ11090	PBM	N
M00182_2.00	GJ16389	PBM	N
M00182_2.00	tll	PBM	N
M00183_2.00	GJ12889	PBM	N
M00184_2.00	GJ20887	PBM	N
M00184_2.00	GJ13880	PBM	N
M00184_2.00	GJ13789	PBM	N
M00184_2.00	GJ14872	PBM	N
M00184_2.00	GJ13743	PBM	N
M00184_2.00	GJ11090	PBM	N
M00184_2.00	GJ17882	PBM	N
M00184_2.00	GJ16389	PBM	N
M00184_2.00	GJ20161	PBM	N
M00185_2.00	GJ13880	PBM	N
M00185_2.00	GJ20161	PBM	N
M00185_2.00	GJ13743	PBM	N
M00185_2.00	GJ13789	PBM	N
M00185_2.00	GJ14872	PBM	N
M00185_2.00	GJ16389	PBM	N
M00185_2.00	GJ11090	PBM	N
M00186_2.00	GJ23659	PBM	N
M00187_2.00	GJ22650	PBM	N
M00188_2.00	GJ23659	PBM	N
M00193_2.00	GJ21981	PBM	N
M00195_2.00	GJ23448	PBM	N
M00195_2.00	GJ16014	PBM	N
M00196_2.00	GJ16014	PBM	N
M00197_2.00	GJ11556	PBM	N
M00197_2.00	GJ21897	PBM	N
M00197_2.00	GJ22304	PBM	N
M00197_2.00	GJ18351	PBM	N
M00197_2.00	GJ10502	PBM	N
M00197_2.00	GJ11557	PBM	N
M00197_2.00	GJ11555	PBM	N
M00197_2.00	GJ16151	PBM	N
M00198_2.00	GJ21981	PBM	N
M00199_2.00	GJ18351	PBM	N
M00199_2.00	GJ11556	PBM	N
M00199_2.00	GJ10502	PBM	N
M00199_2.00	GJ16151	PBM	N
M00199_2.00	GJ11557	PBM	N
M00199_2.00	GJ11555	PBM	N
M00199_2.00	GJ21897	PBM	N
M00199_2.00	GJ22304	PBM	N
M00200_2.00	GJ21981	PBM	N
M00201_2.00	GJ16151	PBM	N
M00201_2.00	GJ11556	PBM	N
M00201_2.00	GJ22304	PBM	N
M00201_2.00	GJ18351	PBM	N
M00201_2.00	GJ11555	PBM	N
M00201_2.00	GJ11557	PBM	N
M00201_2.00	GJ10502	PBM	N
M00201_2.00	GJ21897	PBM	N
M00202_2.00	GJ18351	PBM	N
M00202_2.00	GJ11557	PBM	N
M00202_2.00	GJ10502	PBM	N
M00202_2.00	GJ11556	PBM	N
M00202_2.00	GJ21897	PBM	N
M00202_2.00	GJ16151	PBM	N
M00202_2.00	GJ22304	PBM	N
M00202_2.00	GJ11555	PBM	N
M00203_2.00	GJ21897	PBM	N
M00203_2.00	GJ11556	PBM	N
M00203_2.00	GJ11557	PBM	N
M00203_2.00	GJ11555	PBM	N
M00203_2.00	GJ16151	PBM	N
M00203_2.00	GJ22304	PBM	N
M00203_2.00	GJ10502	PBM	N
M00203_2.00	GJ18351	PBM	N
M00204_2.00	GJ11555	PBM	N
M00204_2.00	GJ10502	PBM	N
M00204_2.00	GJ21897	PBM	N
M00204_2.00	GJ18351	PBM	N
M00204_2.00	GJ16151	PBM	N
M00204_2.00	GJ11556	PBM	N
M00204_2.00	GJ22304	PBM	N
M00204_2.00	GJ11557	PBM	N
M00205_2.00	GJ21897	PBM	N
M00205_2.00	GJ16151	PBM	N
M00205_2.00	GJ11556	PBM	N
M00205_2.00	GJ18351	PBM	N
M00205_2.00	GJ10502	PBM	N
M00205_2.00	GJ11555	PBM	N
M00205_2.00	GJ22304	PBM	N
M00205_2.00	GJ11557	PBM	N
M00206_2.00	GJ22304	PBM	N
M00206_2.00	GJ11557	PBM	N
M00206_2.00	GJ10502	PBM	N
M00206_2.00	GJ11555	PBM	N
M00206_2.00	GJ11556	PBM	N
M00206_2.00	GJ18351	PBM	N
M00206_2.00	GJ21897	PBM	N
M00206_2.00	GJ16151	PBM	N
M00207_2.00	GJ21981	PBM	N
M00208_2.00	GJ18351	PBM	N
M00208_2.00	GJ16151	PBM	N
M00208_2.00	GJ22304	PBM	N
M00208_2.00	GJ11557	PBM	N
M00208_2.00	GJ10502	PBM	N
M00208_2.00	GJ11555	PBM	N
M00208_2.00	GJ11556	PBM	N
M00208_2.00	GJ21897	PBM	N
M00209_2.00	GJ21897	PBM	N
M00209_2.00	GJ11557	PBM	N
M00209_2.00	GJ18351	PBM	N
M00209_2.00	GJ11555	PBM	N
M00209_2.00	GJ11556	PBM	N
M00209_2.00	GJ16151	PBM	N
M00209_2.00	GJ10502	PBM	N
M00209_2.00	GJ22304	PBM	N
M00210_2.00	GJ11556	PBM	N
M00210_2.00	GJ21897	PBM	N
M00210_2.00	GJ10502	PBM	N
M00210_2.00	GJ22304	PBM	N
M00210_2.00	GJ11557	PBM	N
M00210_2.00	GJ16151	PBM	N
M00210_2.00	GJ11555	PBM	N
M00210_2.00	GJ18351	PBM	N
M00211_2.00	GJ22304	PBM	N
M00211_2.00	GJ11557	PBM	N
M00211_2.00	GJ11556	PBM	N
M00211_2.00	GJ21897	PBM	N
M00211_2.00	GJ10502	PBM	N
M00211_2.00	GJ18351	PBM	N
M00211_2.00	GJ11555	PBM	N
M00211_2.00	GJ16151	PBM	N
M00212_2.00	GJ22304	PBM	N
M00212_2.00	GJ16151	PBM	N
M00212_2.00	GJ11556	PBM	N
M00212_2.00	GJ11557	PBM	N
M00212_2.00	GJ21897	PBM	N
M00212_2.00	GJ18351	PBM	N
M00212_2.00	GJ10502	PBM	N
M00212_2.00	GJ11555	PBM	N
M00213_2.00	GJ11556	PBM	N
M00213_2.00	GJ10502	PBM	N
M00213_2.00	GJ11557	PBM	N
M00213_2.00	GJ11555	PBM	N
M00213_2.00	GJ21897	PBM	N
M00213_2.00	GJ22304	PBM	N
M00213_2.00	GJ18351	PBM	N
M00213_2.00	GJ16151	PBM	N
M00214_2.00	GJ11555	PBM	N
M00214_2.00	GJ10502	PBM	N
M00214_2.00	GJ18351	PBM	N
M00214_2.00	GJ22304	PBM	N
M00214_2.00	GJ21897	PBM	N
M00214_2.00	GJ16151	PBM	N
M00214_2.00	GJ11557	PBM	N
M00214_2.00	GJ11556	PBM	N
M00216_2.00	Tbp	PBM	N
M00216_2.00	GJ14917	PBM	N
M00220_2.00	GJ17399	PBM	N
M00221_2.00	GJ17399	PBM	N
M00222_2.00	GJ17399	PBM	N
M00224_2.00	GJ18175	PBM	N
M00224_2.00	GJ20749	PBM	N
M00226_2.00	GJ20749	PBM	N
M00226_2.00	GJ18175	PBM	N
M00232_2.00	GJ23272	PBM	N
M00233_2.00	GJ23272	PBM	N
M00236_2.00	GJ21268	PBM	N
M00238_2.00	GJ21268	PBM	N
M00239_2.00	GJ21268	PBM	N
M00240_2.00	GJ21268	PBM	N
M00253_2.00	GJ16301	PBM	N
M00253_2.00	GJ15456	PBM	N
M00253_2.00	GJ13122	PBM	N
M00253_2.00	GJ18555	PBM	N
M00253_2.00	GJ22399	PBM	N
M00253_2.00	GJ23621	PBM	N
M00254_2.00	GJ13122	PBM	N
M00254_2.00	GJ22399	PBM	N
M00254_2.00	GJ15456	PBM	N
M00255_2.00	GJ18555	PBM	N
M00255_2.00	GJ16301	PBM	N
M00255_2.00	GJ23621	PBM	N
M00255_2.00	GJ22399	PBM	N
