Motif	Factor	Evidence	Curated
M00008_2.00	GE24795	PBM	N
M00008_2.00	GE25566	PBM	N
M00056_2.00	GE26064	PBM	N
M00056_2.00	GE11607	PBM	N
M00056_2.00	GE12148	PBM	N
M00056_2.00	GE11517	PBM	N
M00056_2.00	GE13763	PBM	N
M00056_2.00	GE10608	PBM	N
M00056_2.00	GE12367	PBM	N
M00056_2.00	GE16946	PBM	N
M00056_2.00	GE25524	PBM	N
M00056_2.00	GE17435	PBM	N
M00056_2.00	GE13762	PBM	N
M00056_2.00	GE16810	PBM	N
M00056_2.00	GE16769	PBM	N
M00056_2.00	GE17683	PBM	N
M00056_2.00	GE17381	PBM	N
M00056_2.00	GE13516	PBM	N
M00056_2.00	GE16412	PBM	N
M00056_2.00	GE19264	PBM	N
M00056_2.00	GE23858	PBM	N
M00066_2.00	GE24689	PBM	N
M00070_2.00	GE14503	PBM	N
M00070_2.00	GE14354	PBM	N
M00070_2.00	GE18794	PBM	N
M00070_2.00	GE12330	PBM	N
M00070_2.00	GE25659	PBM	N
M00070_2.00	GE20028	PBM	N
M00070_2.00	GE20027	PBM	N
M00070_2.00	GE20029	PBM	N
M00070_2.00	GE10918	PBM	N
M00112_2.00	GE19777	PBM	N
M00112_2.00	GE23038	PBM	N
M00114_2.00	GE19777	PBM	N
M00114_2.00	GE23038	PBM	N
M00115_2.00	GE14310	PBM	N
M00124_2.00	GE17723	PBM	N
M00125_2.00	GE16537	PBM	N
M00133_2.00	GE10816	PBM	N
M00134_2.00	GE13058	PBM	N
M00134_2.00	GE21373	PBM	N
M00153_2.00	GE13001	PBM	N
M00153_2.00	GE24969	PBM	N
M00154_2.00	GE13001	PBM	N
M00154_2.00	GE24969	PBM	N
M00156_2.00	GE22135	PBM	N
M00157_2.00	GE23966	PBM	N
M00157_2.00	GE23515	PBM	N
M00157_2.00	GE22135	PBM	N
M00157_2.00	GE21541	PBM	N
M00157_2.00	GE16051	PBM	N
M00157_2.00	GE15223	PBM	N
M00157_2.00	GE10607	PBM	N
M00158_2.00	GE22135	PBM	N
M00159_2.00	GE23760	PBM	N
M00159_2.00	GE22135	PBM	N
M00160_2.00	GE20234	PBM	N
M00160_2.00	GE17344	PBM	N
M00160_2.00	GE18262	PBM	N
M00160_2.00	GE14241	PBM	N
M00162_2.00	GE23556	PBM	N
M00162_2.00	GE21395	PBM	N
M00162_2.00	GE10507	PBM	N
M00163_2.00	GE20234	PBM	N
M00163_2.00	GE17344	PBM	N
M00164_2.00	GE21395	PBM	N
M00164_2.00	GE18263	PBM	N
M00164_2.00	GE21586	PBM	N
M00164_2.00	GE22970	PBM	N
M00164_2.00	GE18262	PBM	N
M00164_2.00	GE14241	PBM	N
M00164_2.00	GE17344	PBM	N
M00165_2.00	GE24873	PBM	N
M00165_2.00	GE24361	PBM	N
M00166_2.00	GE24873	PBM	N
M00166_2.00	GE24361	PBM	N
M00167_2.00	GE24873	PBM	N
M00167_2.00	GE24361	PBM	N
M00168_2.00	GE18856	PBM	N
M00169_2.00	GE19170	PBM	N
M00170_2.00	GE25732	PBM	N
M00172_2.00	GE11517	PBM	N
M00172_2.00	GE25827	PBM	N
M00172_2.00	GE25826	PBM	N
M00172_2.00	GE11607	PBM	N
M00172_2.00	GE19264	PBM	N
M00172_2.00	GE13516	PBM	N
M00172_2.00	GE23858	PBM	N
M00172_2.00	GE26304	PBM	N
M00172_2.00	GE25524	PBM	N
M00172_2.00	GE26456	PBM	N
M00172_2.00	GE25478	PBM	N
M00172_2.00	eve	PBM	N
M00172_2.00	GE24407	PBM	N
M00172_2.00	GE14447	PBM	N
M00172_2.00	GE21647	PBM	N
M00172_2.00	GE16769	PBM	N
M00172_2.00	GE12367	PBM	N
