Motif	Factor	Evidence	Curated
M00008_2.00	HMGI-C	PBM	N
M00008_2.00	PHF21A	PBM	N
M00056_2.00	ENSGALG00000010213	PBM	N
M00056_2.00	ENSGALG00000025740	PBM	N
M00056_2.00	ENSGALG00000023647	PBM	N
M00056_2.00	PRRX1	PBM	N
M00056_2.00	ENSGALG00000023430	PBM	N
M00056_2.00	ENSGALG00000020627	PBM	N
M00056_2.00	ENSGALG00000019041	PBM	N
M00056_2.00	ENSGALG00000025770	PBM	N
M00056_2.00	HESX1	PBM	N
M00056_2.00	ENSGALG00000019025	PBM	N
M00056_2.00	ENSGALG00000016698	PBM	N
M00056_2.00	MSX1	PBM	N
M00056_2.00	PHOX2B	PBM	N
M00056_2.00	ENSGALG00000013431	PBM	N
M00056_2.00	GBX2	PBM	N
M00056_2.00	ENSGALG00000025867	PBM	N
M00056_2.00	ENSGALG00000025875	PBM	N
M00056_2.00	ISX	PBM	N
M00056_2.00	ENSGALG00000026017	PBM	N
M00056_2.00	ENSGALG00000026180	PBM	N
M00056_2.00	OTP	PBM	N
M00056_2.00	ALX1	PBM	N
M00056_2.00	PRRX2	PBM	N
M00056_2.00	ENSGALG00000029057	PBM	N
M00056_2.00	ENSGALG00000025954	PBM	N
M00060_2.00	ENSGALG00000014870	PBM	N
M00066_2.00	RFX2	PBM	N
M00066_2.00	RFX3	PBM	N
M00066_2.00	RFX4	PBM	N
M00070_2.00	SOX9	PBM	N
M00070_2.00	SOX13	PBM	N
M00070_2.00	ENSGALG00000026582	PBM	N
M00070_2.00	ENSGALG00000016397	PBM	N
M00070_2.00	SOX6	PBM	N
M00070_2.00	SOX8	PBM	N
M00070_2.00	ENSGALG00000008848	PBM	N
M00070_2.00	SOX10	PBM	N
M00070_2.00	ENSGALG00000028422	PBM	N
M00070_2.00	ENSGALG00000013204	PBM	N
M00111_2.00	TFAP2D	PBM	N
M00111_2.00	TFAP2C	PBM	N
M00111_2.00	TFAP2A	PBM	N
M00111_2.00	TFAP2B	PBM	N
M00111_2.00	ENSGALG00000002393	PBM	N
M00112_2.00	TFAP2A	PBM	N
M00112_2.00	TFAP2D	PBM	N
M00112_2.00	ENSGALG00000002393	PBM	N
M00112_2.00	TFAP2B	PBM	N
M00112_2.00	TFAP2C	PBM	N
M00113_2.00	ENSGALG00000002393	PBM	N
M00113_2.00	TFAP2A	PBM	N
M00113_2.00	TFAP2D	PBM	N
M00113_2.00	TFAP2B	PBM	N
M00113_2.00	TFAP2C	PBM	N
M00114_2.00	TFAP2D	PBM	N
M00114_2.00	ENSGALG00000002393	PBM	N
M00114_2.00	TFAP2C	PBM	N
M00114_2.00	TFAP2A	PBM	N
M00114_2.00	TFAP2B	PBM	N
M00115_2.00	ARID3C	PBM	N
M00115_2.00	ARID3A	PBM	N
M00115_2.00	ARID3B	PBM	N
M00116_2.00	ENSGALG00000027335	PBM	N
M00116_2.00	ENSGALG00000002991	PBM	N
M00117_2.00	ENSGALG00000023607	PBM	N
M00118_2.00	TCF3	PBM	N
M00118_2.00	TCF12	PBM	N
M00119_2.00	BHLHE40	PBM	N
M00120_2.00	MYOG	PBM	N
M00120_2.00	MYF5	PBM	N
M00120_2.00	MYF6	PBM	N
M00121_2.00	ENSGALG00000028248	PBM	N
M00122_2.00	ENSGALG00000028248	PBM	N
M00123_2.00	MAFK	PBM	N
M00123_2.00	MAF	PBM	N
M00123_2.00	MAFA	PBM	N
M00123_2.00	ENSGALG00000007296	PBM	N
M00124_2.00	CREM	PBM	N
M00124_2.00	ENSGALG00000008494	PBM	N
M00124_2.00	ENSGALG00000006089	PBM	N
M00125_2.00	JDP2	PBM	N
M00125_2.00	ATF3	PBM	N
M00126_2.00	MAFK	PBM	N
M00126_2.00	ENSGALG00000007296	PBM	N
M00126_2.00	MAFA	PBM	N
M00126_2.00	MAF	PBM	N
M00132_2.00	OSR1	PBM	N
M00133_2.00	ENSGALG00000028401	PBM	N
M00133_2.00	ENSGALG00000010905	PBM	N
M00133_2.00	ENSGALG00000027511	PBM	N
M00133_2.00	ENSGALG00000009327	PBM	N
M00134_2.00	ENSGALG00000010101	PBM	N
M00134_2.00	KLF5	PBM	N
M00134_2.00	KLF12	PBM	N
M00134_2.00	KLF4	PBM	N
M00134_2.00	ENSGALG00000007570	PBM	N
M00134_2.00	ENSGALG00000007056	PBM	N
M00134_2.00	ENSGALG00000000177	PBM	N
M00134_2.00	KLF7	PBM	N
M00134_2.00	KLF2	PBM	N
M00136_2.00	MTF1	PBM	N
M00137_2.00	ENSGALG00000006810	PBM	N
M00137_2.00	ENSGALG00000006811	PBM	N
M00137_2.00	ENSGALG00000006497	PBM	N
M00140_2.00	ZNF410	PBM	N
M00141_2.00	ENSGALG00000026718	PBM	N
M00141_2.00	ENSGALG00000001403	PBM	N
M00143_2.00	ENSGALG00000026752	PBM	N
M00144_2.00	OSR1	PBM	N
M00145_2.00	ENSGALG00000014771	PBM	N
M00150_2.00	ENSGALG00000006811	PBM	N
M00150_2.00	ENSGALG00000006497	PBM	N
M00150_2.00	ENSGALG00000006810	PBM	N
M00151_2.00	ENSGALG00000006810	PBM	N
M00151_2.00	ENSGALG00000006497	PBM	N
M00151_2.00	ENSGALG00000006811	PBM	N
M00153_2.00	E2F4	PBM	N
M00153_2.00	E2F1	PBM	N
M00153_2.00	E2F3	PBM	N
M00153_2.00	ENSGALG00000015818	PBM	N
M00153_2.00	E2F6	PBM	N
M00153_2.00	ENSGALG00000026792	PBM	N
M00154_2.00	E2F4	PBM	N
M00154_2.00	E2F1	PBM	N
M00154_2.00	E2F3	PBM	N
M00154_2.00	ENSGALG00000015818	PBM	N
M00154_2.00	E2F6	PBM	N
M00154_2.00	ENSGALG00000026792	PBM	N
M00155_2.00	ENSGALG00000007811	PBM	N
M00155_2.00	SPI1	PBM	N
M00155_2.00	SPIC	PBM	N
M00156_2.00	EHF	PBM	N
M00156_2.00	ENSGALG00000000504	PBM	N
M00156_2.00	ELF1	PBM	N
M00156_2.00	ELF3	PBM	N
M00156_2.00	ENSGALG00000007811	PBM	N
M00156_2.00	ETV6	PBM	N
M00156_2.00	ENSGALG00000009774	PBM	N
M00157_2.00	GABPA	PBM	N
M00157_2.00	ELF1	PBM	N
M00157_2.00	FEV	PBM	N
M00157_2.00	ENSGALG00000027138	PBM	N
M00157_2.00	ENSGALG00000011435	PBM	N
M00157_2.00	ENSGALG00000000701	PBM	N
M00157_2.00	ENSGALG00000000669	PBM	N
M00157_2.00	ENSGALG00000005768	PBM	N
M00157_2.00	ENSGALG00000010780	PBM	N
M00157_2.00	ENSGALG00000009774	PBM	N
M00157_2.00	FLI1	PBM	N
M00157_2.00	ERG	PBM	N
M00157_2.00	ENSGALG00000001188	PBM	N
M00157_2.00	ETS2	PBM	N
M00157_2.00	ETS1	PBM	N
M00158_2.00	EHF	PBM	N
M00158_2.00	ELF3	PBM	N
M00158_2.00	ENSGALG00000000504	PBM	N
