Motif	Factor	Evidence	Curated
M00008_2.00	Hmga1	PBM	N
M00008_2.00	Hmga2	PBM	N
M00044_2.00	Foxp3	PBM	N
M00056_2.00	Gbx2	PBM	N
M00056_2.00	Phox2b	PBM	N
M00056_2.00	Prrx2	PBM	N
M00056_2.00	En2	PBM	N
M00056_2.00	Msx1	PBM	N
M00056_2.00	En1	PBM	N
M00056_2.00	Phox2a	PBM	N
M00056_2.00	Msx2	PBM	N
M00056_2.00	Gbx1	PBM	N
M00056_2.00	Alx3	PBM	N
M00056_2.00	Sebox	PBM	N
M00056_2.00	Hesx1	PBM	N
M00056_2.00	Alx1	PBM	N
M00056_2.00	Prop1	PBM	N
M00056_2.00	Msx3	PBM	N
M00056_2.00	Otp	PBM	N
M00056_2.00	Vsx2	PBM	N
M00056_2.00	Nobox	PBM	N
M00056_2.00	Vsx1	PBM	N
M00056_2.00	Isx	PBM	N
M00056_2.00	Uncx	PBM	N
M00056_2.00	Alx4	PBM	N
M00056_2.00	Mixl1	PBM	N
M00056_2.00	ARX_RAT	PBM	N
M00056_2.00	Noto	PBM	N
M00056_2.00	NEWGENE_1310011	PBM	N
M00060_2.00	Hsf4	PBM	N
M00060_2.00	Hsf2	PBM	N
M00066_2.00	Rfx2	PBM	N
M00066_2.00	Rfx3	PBM	N
M00066_2.00	Rfx1	PBM	N
M00070_2.00	Sox2	PBM	N
M00070_2.00	Sox12	PBM	N
M00070_2.00	Sox8	PBM	N
M00070_2.00	Sox6	PBM	N
M00070_2.00	Sox7	PBM	N
M00070_2.00	Sox18	PBM	N
M00070_2.00	Sox10	PBM	N
M00070_2.00	Sox17	PBM	N
M00070_2.00	Sox5	PBM	N
M00070_2.00	Sox9	PBM	N
M00070_2.00	Sox13	PBM	N
M00070_2.00	Sox11	PBM	N
M00070_2.00	ENSRNOG00000051574	PBM	N
M00070_2.00	ENSRNOG00000054335	PBM	N
M00070_2.00	Cic	PBM	N
M00070_2.00	ENSRNOG00000061370	PBM	N
M00070_2.00	Sox14	PBM	N
M00111_2.00	Tfap2b	PBM	N
M00111_2.00	Tfap2a	PBM	N
M00111_2.00	Tfap2c	PBM	N
M00111_2.00	Tfap2e	PBM	N
M00111_2.00	Tfap2d	PBM	N
M00112_2.00	Tfap2b	PBM	N
M00112_2.00	Tfap2d	PBM	N
M00112_2.00	Tfap2e	PBM	N
M00112_2.00	Tfap2c	PBM	N
M00112_2.00	Tfap2a	PBM	N
M00113_2.00	Tfap2c	PBM	N
M00113_2.00	Tfap2e	PBM	N
M00113_2.00	Tfap2b	PBM	N
M00113_2.00	Tfap2d	PBM	N
M00113_2.00	Tfap2a	PBM	N
M00114_2.00	Tfap2b	PBM	N
M00114_2.00	Tfap2c	PBM	N
M00114_2.00	Tfap2d	PBM	N
M00114_2.00	Tfap2e	PBM	N
M00114_2.00	Tfap2a	PBM	N
M00115_2.00	Arid3c	PBM	N
M00115_2.00	Arid3b	PBM	N
M00115_2.00	Arid3a	PBM	N
M00117_2.00	Ascl2	PBM	N
M00117_2.00	Ascl1	PBM	N
M00118_2.00	Tcf3	PBM	N
M00118_2.00	Tcf4	PBM	N
M00118_2.00	Tcf12	PBM	N
M00119_2.00	Bhlhe40	PBM	N
M00119_2.00	Bhlhe41	PBM	N
M00120_2.00	Myf5	PBM	N
M00120_2.00	Myf6	PBM	N
M00120_2.00	Myog	PBM	N
M00121_2.00	Max	PBM	N
M00122_2.00	Max	PBM	N
M00123_2.00	Maf	PBM	N
M00123_2.00	Mafb	PBM	N
M00123_2.00	Mafk	PBM	N
M00123_2.00	Mafg	PBM	N
M00123_2.00	Mafa	PBM	N
M00124_2.00	Creb1	PBM	N
M00124_2.00	Atf1	PBM	N
M00124_2.00	Crem	PBM	N
M00125_2.00	Atf3	PBM	N
M00126_2.00	Maf	PBM	N
M00126_2.00	Mafk	PBM	N
M00126_2.00	Mafa	PBM	N
M00126_2.00	Mafg	PBM	N
M00126_2.00	Mafb	PBM	N
M00128_2.00	Bcl6b	PBM	N
M00129_2.00	Glis2	PBM	N
M00130_2.00	Plagl1	PBM	N
M00131_2.00	Zscan26	PBM	N
M00132_2.00	Osr1	PBM	N
M00132_2.00	Osr2	PBM	N
M00133_2.00	Sp9	PBM	N
M00133_2.00	Sp5	PBM	N
M00133_2.00	Sp4	PBM	N
M00133_2.00	Sp1	PBM	N
M00133_2.00	Sp3	PBM	N
M00133_2.00	Sp8	PBM	N
M00134_2.00	Klf3	PBM	N
M00134_2.00	Klf4	PBM	N
M00134_2.00	Klf6	PBM	N
M00134_2.00	Klf12	PBM	N
M00134_2.00	Klf5	PBM	N
M00134_2.00	Klf1	PBM	N
M00134_2.00	Klf2	PBM	N
M00135_2.00	Zbtb7b	PBM	N
M00136_2.00	Mtf1	PBM	N
M00136_2.00	LOC100909856	PBM	N
M00137_2.00	Zic3	PBM	N
M00137_2.00	Zic5	PBM	N
M00137_2.00	Zic1	PBM	N
M00137_2.00	Zic2	PBM	N
M00137_2.00	Zic4	PBM	N
M00139_2.00	Zfp281	PBM	N
M00140_2.00	Zfp410	PBM	N
M00141_2.00	Hic2	PBM	N
M00142_2.00	Zfp691	PBM	N
M00143_2.00	Znf740	PBM	N
M00144_2.00	Osr2	PBM	N
M00144_2.00	Osr1	PBM	N
M00145_2.00	Zfp161	PBM	N
M00146_2.00	Zbtb12	PBM	N
M00148_2.00	Zfp105	PBM	N
M00150_2.00	Zic3	PBM	N
M00150_2.00	Zic1	PBM	N
M00150_2.00	Zic4	PBM	N
M00150_2.00	Zic2	PBM	N
M00151_2.00	Zic1	PBM	N
M00151_2.00	Zic5	PBM	N
M00151_2.00	Zic4	PBM	N
M00151_2.00	Zic2	PBM	N
M00151_2.00	Zic3	PBM	N
M00152_2.00	Zbtb3	PBM	N
M00153_2.00	E2f2	PBM	N
M00153_2.00	E2f6	PBM	N
M00153_2.00	E2f1	PBM	N
M00153_2.00	E2f3	PBM	N
M00153_2.00	E2f5	PBM	N
M00153_2.00	E2f4	PBM	N
M00154_2.00	E2f3	PBM	N
M00154_2.00	E2f4	PBM	N
M00154_2.00	E2f2	PBM	N
M00154_2.00	E2f1	PBM	N
M00154_2.00	E2f6	PBM	N
M00154_2.00	E2f5	PBM	N
M00155_2.00	Spic	PBM	N
M00155_2.00	Spib	PBM	N
M00155_2.00	Spi1	PBM	N
M00155_2.00	Elf5	PBM	N
M00155_2.00	LOC100910896	PBM	N
M00156_2.00	Elf3	PBM	N
M00156_2.00	Etv6	PBM	N
M00156_2.00	Elf5	PBM	N
M00156_2.00	Elf2	PBM	N
M00156_2.00	Elf4	PBM	N
M00156_2.00	Ehf	PBM	N
M00156_2.00	LOC100910896	PBM	N
M00156_2.00	Elf1	PBM	N
M00157_2.00	Etv2	PBM	N
M00157_2.00	Elk3	PBM	N
M00157_2.00	Ets2	PBM	N
M00157_2.00	Etv3	PBM	N
M00157_2.00	Etv3l	PBM	N
M00157_2.00	Etv4	PBM	N
M00157_2.00	Gabpa	PBM	N
M00157_2.00	Elf4	PBM	N
M00157_2.00	Etv1	PBM	N
M00157_2.00	Elk1	PBM	N
M00157_2.00	Elk4	PBM	N
M00157_2.00	Erg	PBM	N
M00157_2.00	Fev	PBM	N
M00157_2.00	Fli1	PBM	N
M00157_2.00	Elf2	PBM	N
M00157_2.00	Ets1	PBM	N
M00157_2.00	Etv5	PBM	N
M00157_2.00	Erf	PBM	N
M00157_2.00	Elf1	PBM	N
M00158_2.00	Elf3	PBM	N
M00158_2.00	LOC100910896	PBM	N
M00158_2.00	Elf2	PBM	N
M00158_2.00	Elf5	PBM	N
M00158_2.00	Etv6	PBM	N
M00158_2.00	Elf1	PBM	N
M00158_2.00	Fev	PBM	N
M00158_2.00	Ehf	PBM	N
M00158_2.00	Elf4	PBM	N
M00159_2.00	Elf4	PBM	N
M00159_2.00	Spdef	PBM	N
M00159_2.00	Elf2	PBM	N
M00159_2.00	Elf1	PBM	N
M00160_2.00	Foxp4	PBM	N
M00160_2.00	Foxi2	PBM	N
M00160_2.00	Foxj3	PBM	N
M00160_2.00	Foxd2	PBM	N
M00160_2.00	FOXD3_RAT	PBM	N
M00160_2.00	Foxd1	PBM	N
M00160_2.00	Foxp3	PBM	N
M00160_2.00	Foxi3	PBM	N
M00160_2.00	Foxp1	PBM	N
M00160_2.00	Foxc2	PBM	N
M00160_2.00	Foxk2	PBM	N
M00160_2.00	Foxk1	PBM	N
M00160_2.00	Foxj2	PBM	N
M00160_2.00	Foxi1	PBM	N
M00160_2.00	Foxg1	PBM	N
M00161_2.00	Foxj2	PBM	N
M00162_2.00	Foxb2	PBM	N
M00162_2.00	Foxa3	PBM	N
M00162_2.00	Foxa2	PBM	N
M00162_2.00	Foxa1	PBM	N
M00163_2.00	Foxi1	PBM	N
M00163_2.00	Foxk1	PBM	N
M00163_2.00	Foxk2	PBM	N
M00163_2.00	Foxj3	PBM	N
M00164_2.00	FOXD3_RAT	PBM	N
M00164_2.00	Foxs1	PBM	N
M00164_2.00	Foxe1	PBM	N
M00164_2.00	Foxd2	PBM	N
M00164_2.00	Foxg1	PBM	N
M00164_2.00	Foxc1	PBM	N
M00164_2.00	Foxi2	PBM	N
M00164_2.00	Foxd1	PBM	N
M00164_2.00	Foxe3	PBM	N
M00164_2.00	Foxi3	PBM	N
M00164_2.00	Foxf1	PBM	N
M00164_2.00	Foxc2	PBM	N
M00164_2.00	LOC680273	PBM	N
M00164_2.00	Foxi1	PBM	N
M00164_2.00	Foxl1	PBM	N
M00164_2.00	Foxl2	PBM	N
M00165_2.00	Gata4	PBM	N
M00165_2.00	Gata2	PBM	N
M00165_2.00	Gata5	PBM	N
M00165_2.00	Gata6	PBM	N
M00165_2.00	Gata3	PBM	N
M00165_2.00	Gata1	PBM	N
M00165_2.00	LOC108348091	PBM	N
M00166_2.00	LOC108348091	PBM	N
M00166_2.00	Gata6	PBM	N
M00166_2.00	Gata1	PBM	N
M00166_2.00	Gata4	PBM	N
M00166_2.00	Gata5	PBM	N
M00166_2.00	Gata3	PBM	N
M00166_2.00	Gata2	PBM	N
M00167_2.00	Gata2	PBM	N
M00167_2.00	Gata3	PBM	N
M00167_2.00	Gata6	PBM	N
M00167_2.00	Gata1	PBM	N
M00167_2.00	LOC108348091	PBM	N
M00167_2.00	Gata5	PBM	N
M00167_2.00	Gata4	PBM	N
M00168_2.00	Gcm2	PBM	N
M00169_2.00	Six3	PBM	N
M00169_2.00	Six6	PBM	N
M00170_2.00	Nkx3-1	PBM	N
M00170_2.00	Nkx3-2	PBM	N
M00171_2.00	Hmbox1	PBM	N
M00171_2.00	Hnf1a	PBM	N
M00171_2.00	Hnf1b	PBM	N
M00172_2.00	Prrx2	PBM	N
M00172_2.00	Hmx3	PBM	N
M00172_2.00	Hoxa7	PBM	N
M00172_2.00	Hoxd3	PBM	N
M00172_2.00	Gbx1	PBM	N
M00172_2.00	Phox2a	PBM	N
M00172_2.00	Lhx3	PBM	N
M00172_2.00	Evx2	PBM	N
M00172_2.00	Vax2	PBM	N
M00172_2.00	Gsx2	PBM	N
M00172_2.00	Hoxa3	PBM	N
M00172_2.00	Vsx2	PBM	N
M00172_2.00	Msx2	PBM	N
M00172_2.00	NEWGENE_2813	PBM	N
M00172_2.00	Hoxa1	PBM	N
M00172_2.00	En1	PBM	N
M00172_2.00	Dlx5	PBM	N
M00172_2.00	LOC100911622	PBM	N
M00172_2.00	Hoxa4	PBM	N
M00172_2.00	Dlx6	PBM	N
M00172_2.00	ARX_RAT	PBM	N
M00172_2.00	Phox2b	PBM	N
M00172_2.00	Gbx2	PBM	N
M00172_2.00	Alx3	PBM	N
M00172_2.00	Hoxa5	PBM	N
M00172_2.00	Evx1	PBM	N
M00172_2.00	En2	PBM	N
M00172_2.00	Mixl1	PBM	N
M00172_2.00	Otp	PBM	N
M00172_2.00	Hoxd4	PBM	N
M00172_2.00	Hoxa5	PBM	N
M00172_2.00	Hoxd1	PBM	N
M00172_2.00	Msx1	PBM	N
M00172_2.00	Bsx	PBM	N
M00172_2.00	Emx2	PBM	N
M00172_2.00	NEWGENE_2812	PBM	N
M00172_2.00	NEWGENE_1587253	PBM	N
M00172_2.00	Hoxb7	PBM	N
M00172_2.00	Hmx1	PBM	N
M00172_2.00	Hoxb5	PBM	N
M00172_2.00	Vax1	PBM	N
M00172_2.00	Hoxb4	PBM	N
M00172_2.00	Barx2	PBM	N
M00172_2.00	Hoxb3	PBM	N
M00172_2.00	Hoxa2	PBM	N
M00172_2.00	Isx	PBM	N
M00172_2.00	Hoxc4	PBM	N
M00172_2.00	Emx1	PBM	N
M00172_2.00	Uncx	PBM	N
M00172_2.00	NEWGENE_1310011	PBM	N
M00172_2.00	Hoxb2	PBM	N
M00172_2.00	Msx3	PBM	N
M00172_2.00	Dlx3	PBM	N
M00172_2.00	Hoxa4	PBM	N
M00172_2.00	Gsx1	PBM	N
M00172_2.00	Alx4	PBM	N
M00172_2.00	Mnx1	PBM	N
M00172_2.00	Dlx4	PBM	N
M00172_2.00	Hoxb1	PBM	N
M00172_2.00	Barx1	PBM	N
M00172_2.00	Noto	PBM	N
M00172_2.00	Nkx1-2	PBM	N
M00172_2.00	Alx1	PBM	N
M00172_2.00	Dlx1	PBM	N
M00172_2.00	Pdx1	PBM	N
M00172_2.00	LOC108348320	PBM	N
M00172_2.00	NEWGENE_1565788	PBM	N
M00172_2.00	Nanog	PBM	N
M00172_2.00	Meox1	PBM	N
M00172_2.00	Nkx1-1	PBM	N
M00172_2.00	Hoxa5	PBM	N
M00172_2.00	Dlx2	PBM	N
M00172_2.00	Sebox	PBM	N
M00172_2.00	Hoxc5	PBM	N
M00172_2.00	Prop1	PBM	N
M00172_2.00	Vsx1	PBM	N
M00173_2.00	Irf9	PBM	N
M00174_2.00	Irf3	PBM	N
M00175_2.00	Irf8	PBM	N
M00175_2.00	Irf4	PBM	N
M00176_2.00	Irf6	PBM	N
M00177_2.00	Irf5	PBM	N
M00178_2.00	Srf	PBM	N
M00179_2.00	Myb	PBM	N
M00179_2.00	Mybl1	PBM	N
M00180_2.00	Myb	PBM	N
M00180_2.00	Mybl1	PBM	N
M00181_2.00	Rara	PBM	N
M00181_2.00	Nr6a1	PBM	N
M00181_2.00	Nr5a2	PBM	N
M00181_2.00	Nr2f1	PBM	N
M00181_2.00	Rxrb	PBM	N
M00181_2.00	Rarg	PBM	N
M00181_2.00	Ppard	PBM	N
M00181_2.00	Ppara	PBM	N
M00181_2.00	Nr4a3	PBM	N
M00181_2.00	Nr4a1	PBM	N
M00181_2.00	Hnf4g	PBM	N
M00181_2.00	Rxrg	PBM	N
M00181_2.00	Rorc	PBM	N
M00181_2.00	Rorb	PBM	N
M00181_2.00	Rxra	PBM	N
M00181_2.00	Rarb	PBM	N
M00181_2.00	Nr5a1	PBM	N
M00181_2.00	Nr2f2	PBM	N
M00181_2.00	Rora	PBM	N
M00181_2.00	Nr2c2	PBM	N
M00181_2.00	Nr4a2	PBM	N
M00181_2.00	Thrb	PBM	N
M00181_2.00	Pparg	PBM	N
M00181_2.00	Thra	PBM	N
M00181_2.00	Nr2c1	PBM	N
M00181_2.00	Nr2f6	PBM	N
M00182_2.00	Nr2e1	PBM	N
M00182_2.00	Nr2f6	PBM	N
M00182_2.00	Nr2f2	PBM	N
M00182_2.00	Rxrb	PBM	N
M00182_2.00	Nr2f1	PBM	N
M00182_2.00	Nr6a1	PBM	N
M00182_2.00	Rxrg	PBM	N
M00182_2.00	Hnf4g	PBM	N
M00182_2.00	Hnf4a	PBM	N
M00183_2.00	Esrrg	PBM	N
M00183_2.00	Esrrb	PBM	N
M00183_2.00	Esr1	PBM	N
M00183_2.00	Esrra	PBM	N
M00183_2.00	Esr2	PBM	N
M00184_2.00	Nr6a1	PBM	N
M00184_2.00	Rxrg	PBM	N
M00184_2.00	Rxrb	PBM	N
M00184_2.00	Ppard	PBM	N
