Motif	Factor	Evidence	Curated
M00001_2.00	ABF1	PBM	Y
M00002_2.00	AFT2	PBM	Y
M00003_2.00	MBP1	PBM	Y
M00004_2.00	SWI4	PBM	Y
M00005_2.00	XBP1	PBM	Y
M00006_2.00	PHD1	PBM	Y
M00007_2.00	SOK2	PBM	Y
M00008_2.00	ORC2	PBM	N
M00008_2.00	SUM1	PBM	Y
M00009_2.00	PHO4	PBM	Y
M00010_2.00	CBF1	PBM	Y
M00011_2.00	TYE7	PBM	Y
M00012_2.00	HAC1	PBM	Y
M00013_2.00	YAP3	PBM	Y
M00014_2.00	CST6	PBM	Y
M00015_2.00	CIN5	PBM	Y
M00016_2.00	REI1	PBM	Y
M00017_2.00	RPN4	PBM	Y
M00018_2.00	STP4	PBM	Y
M00019_2.00	GIS1	PBM	Y
M00020_2.00	SWI5	PBM	Y
M00021_2.00	ADR1	PBM	Y
M00022_2.00	MET32	PBM	Y
M00023_2.00	MIG3	PBM	Y
M00024_2.00	COM2	PBM	Y
M00025_2.00	RPH1	PBM	Y
M00026_2.00	MIG1	PBM	Y
M00027_2.00	MIG2	PBM	Y
M00028_2.00	FZF1	PBM	Y
M00029_2.00	YGR067C	PBM	Y
M00030_2.00	RIM101	PBM	Y
M00031_2.00	RSF2	PBM	Y
M00032_2.00	MSN4	PBM	Y
M00033_2.00	ACE2	PBM	Y
M00034_2.00	STP3	PBM	Y
M00035_2.00	TDA9	PBM	Y
M00036_2.00	MSN2	PBM	Y
M00037_2.00	RGM1	PBM	Y
M00038_2.00	CRZ1	PBM	Y
M00039_2.00	AZF1	PBM	Y
M00040_2.00	MET31	PBM	Y
M00041_2.00	USV1	PBM	Y
M00042_2.00	CMR3	PBM	Y
M00043_2.00	YPR022C	PBM	Y
M00044_2.00	HCM1	PBM	Y
M00045_2.00	FKH2	PBM	Y
M00046_2.00	FHL1	PBM	Y
M00047_2.00	SRD1	PBM	Y
M00048_2.00	GLN3	PBM	Y
M00049_2.00	GAT1	PBM	Y
M00050_2.00	GAT4	PBM	Y
M00051_2.00	GZF3	PBM	Y
M00052_2.00	DAL80	PBM	Y
M00053_2.00	GAT3	PBM	Y
M00054_2.00	ECM23	PBM	Y
M00055_2.00	HMRA2	PBM	Y
M00056_2.00	PHO2	PBM	Y
M00057_2.00	TOS8	PBM	Y
M00058_2.00	YOX1	PBM	Y
M00059_2.00	CUP9	PBM	Y
M00060_2.00	HSF1	PBM	Y
M00061_2.00	SKN7	PBM	Y
M00062_2.00	TOD6	PBM	Y
M00063_2.00	REB1	PBM	Y
M00064_2.00	DOT6	PBM	Y
M00065_2.00	TBF1	PBM	Y
M00066_2.00	RFX1	PBM	Y
M00067_2.00	MOT2	PBM	Y
M00068_2.00	NHP10	PBM	Y
M00069_2.00	ABF2	PBM	Y
M00070_2.00	ROX1	PBM	Y
M00071_2.00	STE12	PBM	Y
M00072_2.00	TEC1	PBM	Y
M00073_2.00	DAL82	PBM	Y
M00074_2.00	OAF1	PBM	Y
M00075_2.00	EDS1	PBM	Y
M00076_2.00	TBS1	PBM	Y
M00077_2.00	ERT1	PBM	Y
M00078_2.00	RDS1	PBM	Y
M00079_2.00	UGA3	PBM	Y
M00080_2.00	LYS14	PBM	Y
M00081_2.00	UME6	PBM	Y
M00082_2.00	RSC3	PBM	Y
M00083_2.00	URC2	PBM	Y
M00084_2.00	TOG1	PBM	Y
M00085_2.00	PDR1	PBM	Y
M00086_2.00	RSC30	PBM	Y
M00087_2.00	STB5	PBM	Y
M00088_2.00	ASG1	PBM	Y
M00089_2.00	SIP4	PBM	Y
M00090_2.00	GSM1	PBM	Y
M00091_2.00	PUT3	PBM	Y
M00092_2.00	RGT1	PBM	Y
M00093_2.00	YKL222C	PBM	Y
M00094_2.00	YLL054C	PBM	Y
M00095_2.00	CHA4	PBM	Y
M00096_2.00	ECM22	PBM	Y
M00097_2.00	HAP1	PBM	Y
M00098_2.00	PDR8	PBM	Y
M00099_2.00	YLR278C	PBM	Y
M00100_2.00	STB4	PBM	Y
M00101_2.00	CEP3	PBM	Y
M00102_2.00	CAT8	PBM	Y
M00103_2.00	YNR063W	PBM	Y
