Motif	Factor	Evidence	Curated
M00008_2.00	ENSSSCG00000001526	PBM	N
M00008_2.00	ENSSSCG00000026965	PBM	N
M00008_2.00	ENSSSCG00000000471	PBM	N
M00044_2.00	FOXP3	PBM	N
M00056_2.00	ARX	PBM	N
M00056_2.00	MSX1	PBM	N
M00056_2.00	OTP	PBM	N
M00056_2.00	ENSSSCG00000013493	PBM	N
M00056_2.00	ENSSSCG00000012543	PBM	N
M00056_2.00	HESX1	PBM	N
M00056_2.00	ENSSSCG00000012090	PBM	N
M00056_2.00	ENSSSCG00000022304	PBM	N
M00056_2.00	ENSSSCG00000010775	PBM	N
M00056_2.00	MIXL1	PBM	N
M00056_2.00	ENSSSCG00000000153	PBM	N
M00056_2.00	ENSSSCG00000023682	PBM	N
M00056_2.00	ENSSSCG00000000933	PBM	N
M00056_2.00	ENSSSCG00000030473	PBM	N
M00056_2.00	ENSSSCG00000010390	PBM	N
M00056_2.00	RAX	PBM	N
M00056_2.00	ENSSSCG00000030329	PBM	N
M00056_2.00	VSX1	PBM	N
M00056_2.00	ENSSSCG00000028844	PBM	N
M00056_2.00	ALX3	PBM	N
M00056_2.00	UNCX	PBM	N
M00056_2.00	SEBOX	PBM	N
M00056_2.00	NOBOX	PBM	N
M00056_2.00	PHOX2A	PBM	N
M00056_2.00	ENSSSCG00000015465	PBM	N
M00056_2.00	SHOX2	PBM	N
M00056_2.00	GBX2	PBM	N
M00056_2.00	ENSSSCG00000016419	PBM	N
M00056_2.00	EN1	PBM	N
M00060_2.00	HSF4	PBM	N
M00060_2.00	HSF1	PBM	N
M00066_2.00	ENSSSCG00000023544	PBM	N
M00066_2.00	RFX1	PBM	N
M00070_2.00	ENSSSCG00000021364	PBM	N
M00070_2.00	SOX9	PBM	N
M00070_2.00	SOX13	PBM	N
M00070_2.00	ENSSSCG00000011771	PBM	N
M00070_2.00	ENSSSCG00000011656	PBM	N
M00070_2.00	SOX21	PBM	N
M00070_2.00	SOX11	PBM	N
M00070_2.00	SOX17	PBM	N
M00070_2.00	CIC	PBM	N
M00070_2.00	SOX3	PBM	N
M00070_2.00	SOX4	PBM	N
M00070_2.00	ENSSSCG00000025728	PBM	N
M00070_2.00	ENSSSCG00000027044	PBM	N
M00070_2.00	ENSSSCG00000028946	PBM	N
M00070_2.00	ENSSSCG00000030418	PBM	N
M00070_2.00	ENSSSCG00000000115	PBM	N
M00070_2.00	SOX5	PBM	N
M00070_2.00	SOX15	PBM	N
M00111_2.00	TFAP2C	PBM	N
M00111_2.00	TFAP2D	PBM	N
M00111_2.00	TFAP2A	PBM	N
M00111_2.00	TFAP2B	PBM	N
M00111_2.00	ENSSSCG00000028059	PBM	N
M00112_2.00	TFAP2B	PBM	N
M00112_2.00	TFAP2A	PBM	N
M00112_2.00	ENSSSCG00000028059	PBM	N
M00112_2.00	TFAP2C	PBM	N
M00112_2.00	TFAP2D	PBM	N
M00113_2.00	TFAP2D	PBM	N
M00113_2.00	TFAP2B	PBM	N
M00113_2.00	TFAP2A	PBM	N
M00113_2.00	TFAP2C	PBM	N
M00114_2.00	TFAP2D	PBM	N
M00114_2.00	ENSSSCG00000028059	PBM	N
M00114_2.00	TFAP2B	PBM	N
M00114_2.00	TFAP2A	PBM	N
M00114_2.00	TFAP2C	PBM	N
M00115_2.00	ARID3C	PBM	N
M00115_2.00	ENSSSCG00000013414	PBM	N
M00115_2.00	ENSSSCG00000022812	PBM	N
M00116_2.00	ARID5A	PBM	N
M00116_2.00	ARID5B	PBM	N
M00118_2.00	TCF4	PBM	N
M00118_2.00	TCF3	PBM	N
M00119_2.00	ENSSSCG00000011534	PBM	N
M00119_2.00	BHLHE41	PBM	N
M00120_2.00	MYF5	PBM	N
M00120_2.00	ENSSSCG00000015475	PBM	N
M00120_2.00	MYF6	PBM	N
M00121_2.00	ENSSSCG00000002282	PBM	N
M00122_2.00	ENSSSCG00000002282	PBM	N
M00123_2.00	MAFK	PBM	N
M00123_2.00	ENSSSCG00000030898	PBM	N
M00124_2.00	ATF1	PBM	N
M00124_2.00	CREM	PBM	N
M00125_2.00	ATF3	PBM	N
M00126_2.00	ENSSSCG00000030898	PBM	N
M00126_2.00	MAFK	PBM	N
M00128_2.00	BCL6B	PBM	N
M00129_2.00	GLIS2	PBM	N
M00130_2.00	PLAGL1	PBM	N
M00132_2.00	OSR2	PBM	N
M00132_2.00	ENSSSCG00000027549	PBM	N
M00133_2.00	SP3	PBM	N
M00133_2.00	ENSSSCG00000029407	PBM	N
M00133_2.00	ENSSSCG00000026327	PBM	N
M00133_2.00	SP1	PBM	N
M00134_2.00	ENSSSCG00000028828	PBM	N
M00134_2.00	ENSSSCG00000022270	PBM	N
M00134_2.00	ENSSSCG00000005437	PBM	N
M00134_2.00	KLF1	PBM	N
M00134_2.00	ENSSSCG00000009462	PBM	N
M00134_2.00	KLF7	PBM	N
M00137_2.00	ZIC1	PBM	N
M00137_2.00	ZIC4	PBM	N
M00137_2.00	ZIC3	PBM	N
M00137_2.00	ZIC2	PBM	N
M00139_2.00	ZNF281	PBM	N
M00140_2.00	ZNF410	PBM	N
M00141_2.00	ENSSSCG00000021196	PBM	N
M00142_2.00	ENSSSCG00000028445	PBM	N
M00143_2.00	ENSSSCG00000000256	PBM	N
M00144_2.00	OSR2	PBM	N
M00144_2.00	ENSSSCG00000027549	PBM	N
M00146_2.00	ZBTB12	PBM	N
M00150_2.00	ZIC2	PBM	N
M00150_2.00	ZIC4	PBM	N
M00150_2.00	ZIC1	PBM	N
M00150_2.00	ZIC3	PBM	N
M00151_2.00	ZIC1	PBM	N
M00151_2.00	ZIC3	PBM	N
M00151_2.00	ZIC4	PBM	N
M00151_2.00	ZIC2	PBM	N
M00152_2.00	ENSSSCG00000025351	PBM	N
M00153_2.00	E2F1	PBM	N
M00153_2.00	E2F6	PBM	N
M00153_2.00	ENSSSCG00000001079	PBM	N
M00153_2.00	E2F4	PBM	N
M00153_2.00	E2F5	PBM	N
M00154_2.00	ENSSSCG00000001079	PBM	N
M00154_2.00	E2F5	PBM	N
M00154_2.00	E2F6	PBM	N
M00154_2.00	E2F1	PBM	N
M00154_2.00	E2F4	PBM	N
M00155_2.00	SPI1	PBM	N
M00155_2.00	ELF5	PBM	N
M00155_2.00	ENSSSCG00000000867	PBM	N
M00156_2.00	ELF5	PBM	N
M00156_2.00	ETV7	PBM	N
M00156_2.00	ELF1	PBM	N
M00156_2.00	ELF4	PBM	N
M00156_2.00	ELF3	PBM	N
M00156_2.00	ETV6	PBM	N
M00156_2.00	EHF	PBM	N
M00157_2.00	ELF4	PBM	N
M00157_2.00	ELK1	PBM	N
M00157_2.00	ETS1	PBM	N
M00157_2.00	ETV3L	PBM	N
M00157_2.00	ETV4	PBM	N
M00157_2.00	ENSSSCG00000021521	PBM	N
M00157_2.00	ERG	PBM	N
M00157_2.00	ETV5	PBM	N
M00157_2.00	ELK3	PBM	N
M00157_2.00	ETV1	PBM	N
M00157_2.00	ENSSSCG00000012068	PBM	N
M00157_2.00	ENSSSCG00000003049	PBM	N
M00157_2.00	ETV2	PBM	N
M00157_2.00	ELK4	PBM	N
M00157_2.00	ELF1	PBM	N
M00157_2.00	ETV3	PBM	N
M00158_2.00	ETV6	PBM	N
M00158_2.00	ETV7	PBM	N
M00158_2.00	ELF1	PBM	N
M00158_2.00	ELF4	PBM	N
M00158_2.00	ELF5	PBM	N
M00158_2.00	ELF3	PBM	N
M00158_2.00	EHF	PBM	N
M00159_2.00	ENSSSCG00000024531	PBM	N
M00159_2.00	ELF1	PBM	N
M00159_2.00	ELF4	PBM	N
M00160_2.00	FOXP1	PBM	N
M00160_2.00	FOXK2	PBM	N
M00160_2.00	FOXI1	PBM	N
M00160_2.00	FOXK1	PBM	N
M00160_2.00	FOXI2	PBM	N
M00160_2.00	FOXP4	PBM	N
M00160_2.00	FOXP3	PBM	N
M00161_2.00	FOXJ1	PBM	N
M00162_2.00	FOXA2	PBM	N
M00162_2.00	FOXB2	PBM	N
