Motif	Factor	Evidence	Curated
M00056_2.00	OTP	PBM	N
M00056_2.00	SEBOX	PBM	N
M00070_2.00	CIC	PBM	N
M00070_2.00	SOX1	PBM	N
M00111_2.00	TFAP2D	PBM	N
M00112_2.00	TFAP2D	PBM	N
M00113_2.00	TFAP2D	PBM	N
M00114_2.00	TFAP2D	PBM	N
M00115_2.00	ARID3B	PBM	N
M00115_2.00	ARID3C	PBM	N
M00116_2.00	ARID5A	PBM	N
M00130_2.00	PLAGL1	PBM	N
M00142_2.00	ZNF691	PBM	N
M00152_2.00	ZBTB3	PBM	N
M00157_2.00	ETV3L	PBM	N
M00160_2.00	FOXI2	PBM	N
M00160_2.00	FOXP4	PBM	N
M00160_2.00	FOXI3	PBM	N
M00162_2.00	FOXB2	PBM	N
M00164_2.00	FOXS1	PBM	N
M00164_2.00	FOXD4L6	PBM	N
M00164_2.00	FOXI3	PBM	N
M00164_2.00	FOXD4L5	PBM	N
M00164_2.00	FOXD4	PBM	N
M00164_2.00	FOXD4L3	PBM	N
M00164_2.00	FOXD4L1	PBM	N
M00164_2.00	FOXE3	PBM	N
M00170_2.00	DBX2	PBM	N
M00172_2.00	HOXC5	PBM	N
M00172_2.00	NKX1-2	PBM	N
M00172_2.00	SEBOX	PBM	N
M00172_2.00	NANOGP8	PBM	N
M00172_2.00	NKX1-1	PBM	N
M00172_2.00	OTP	PBM	N
M00181_2.00	NR4A3	PBM	N
M00184_2.00	NR1H2	PBM	N
M00184_2.00	NR4A3	PBM	N
M00185_2.00	NR1H2	PBM	N
M00186_2.00	RFX6	PBM	N
M00188_2.00	RFX6	PBM	N
M00195_2.00	CIC	PBM	N
M00196_2.00	CIC	PBM	N
M00197_2.00	SOX1	PBM	N
M00199_2.00	SOX1	PBM	N
M00201_2.00	SOX1	PBM	N
M00202_2.00	SOX1	PBM	N
M00203_2.00	SOX1	PBM	N
M00204_2.00	SOX1	PBM	N
M00205_2.00	SOX1	PBM	N
M00206_2.00	SOX1	PBM	N
M00208_2.00	SOX1	PBM	N
M00209_2.00	SOX1	PBM	N
M00210_2.00	SOX1	PBM	N
M00211_2.00	SOX1	PBM	N
M00212_2.00	SOX1	PBM	N
M00213_2.00	SOX1	PBM	N
M00214_2.00	SOX1	PBM	N
M00216_2.00	TBPL2	PBM	N
M00217_2.00	ZNF200	PBM	Y
M00218_2.00	ZNF200	PBM	Y
M00219_2.00	ZNF200	PBM	Y
M00220_2.00	SNAI2	PBM	Y
M00221_2.00	SNAI2	PBM	Y
M00222_2.00	SNAI2	PBM	Y
M00223_2.00	KLF1	PBM	Y
M00224_2.00	KLF1	PBM	Y
M00225_2.00	KLF1	PBM	Y
M00226_2.00	KLF1	PBM	Y
M00227_2.00	BCL6	PBM	Y
M00228_2.00	BCL6	PBM	Y
M00229_2.00	EGR2	PBM	Y
M00230_2.00	EGR2	PBM	Y
M00231_2.00	EGR2	PBM	Y
M00232_2.00	EGR2	PBM	Y
M00233_2.00	EGR2	PBM	Y
M00234_2.00	OVOL2	PBM	Y
M00235_2.00	OVOL2	PBM	Y
M00236_2.00	GFI1	PBM	Y
M00237_2.00	GFI1	PBM	Y
M00238_2.00	GFI1	PBM	Y
M00239_2.00	GFI1B	PBM	Y
M00240_2.00	GFI1B	PBM	Y
M00241_2.00	KLF11	PBM	Y
M00242_2.00	KLF11	PBM	Y
M00243_2.00	WT1	PBM	Y
M00244_2.00	WT1	PBM	Y
M00245_2.00	WT1	PBM	Y
M00246_2.00	WT1	PBM	Y
M00247_2.00	WT1	PBM	Y
M00248_2.00	WT1	PBM	Y
M00249_2.00	WT1	PBM	Y
M00250_2.00	ZNF655	PBM	Y
M00251_2.00	ZNF655	PBM	Y
M00252_2.00	ZNF655	PBM	Y
M00253_2.00	FOXC1	PBM	Y
M00253_2.00	FOXS1	PBM	N
M00253_2.00	FOXD4L6	PBM	N
M00253_2.00	FOXI3	PBM	N
M00253_2.00	FOXD4L1	PBM	N
M00253_2.00	FOXD4L5	PBM	N
M00253_2.00	FOXD4	PBM	N
M00253_2.00	FOXP4	PBM	N
M00253_2.00	FOXD4L3	PBM	N
M00254_2.00	FOXC1	PBM	Y
M00254_2.00	FOXD4	PBM	N
M00254_2.00	FOXD4L1	PBM	N
M00254_2.00	FOXD4L5	PBM	N
M00254_2.00	FOXD4L3	PBM	N
M00254_2.00	FOXD4L6	PBM	N
M00254_2.00	FOXS1	PBM	N
M00254_2.00	FOXI3	PBM	N
M00255_2.00	FOXD4L6	PBM	N
M00255_2.00	FOXC1	PBM	Y
M00255_2.00	FOXD4L5	PBM	N
M00255_2.00	FOXD4L1	PBM	N
M00255_2.00	FOXD4L3	PBM	N
M00255_2.00	FOXP4	PBM	N
M00255_2.00	FOXS1	PBM	N
M00255_2.00	FOXI3	PBM	N
M00255_2.00	FOXD4	PBM	N
M00256_2.00	FOXD4L5	PBM	N
M00256_2.00	FOXD4L1	PBM	N
M00256_2.00	FOXS1	PBM	N
M00256_2.00	FOXI3	PBM	N
M00256_2.00	FOXD4L3	PBM	N
M00256_2.00	FOXD4L6	PBM	N
M00256_2.00	FOXP4	PBM	N
M00256_2.00	FOXC1	PBM	Y
M00256_2.00	FOXD4	PBM	N
M00257_2.00	FOXD4	PBM	N
M00257_2.00	FOXD4L3	PBM	N
M00257_2.00	FOXP4	PBM	N
M00257_2.00	FOXS1	PBM	N
M00257_2.00	FOXI3	PBM	N
M00257_2.00	FOXC1	PBM	Y
M00257_2.00	FOXD4L5	PBM	N
M00257_2.00	FOXD4L1	PBM	N
M00257_2.00	FOXD4L6	PBM	N
M00258_2.00	FOXD4L6	PBM	N
M00258_2.00	FOXD4L1	PBM	N
M00258_2.00	FOXS1	PBM	N
M00258_2.00	FOXD4L5	PBM	N
M00258_2.00	FOXD4L3	PBM	N
M00258_2.00	FOXD4	PBM	N
M00258_2.00	FOXP4	PBM	N
M00258_2.00	FOXC1	PBM	Y
M00258_2.00	FOXI3	PBM	N
M00259_2.00	FOXD4L5	PBM	N
M00259_2.00	FOXD4L3	PBM	N
M00259_2.00	FOXD4L1	PBM	N
M00259_2.00	FOXD4L6	PBM	N
M00259_2.00	FOXC1	PBM	Y
M00259_2.00	FOXP4	PBM	N
M00259_2.00	FOXD4	PBM	N
M00259_2.00	FOXS1	PBM	N
M00259_2.00	FOXI3	PBM	N
M00260_2.00	SEBOX	PBM	N
M00260_2.00	NKX1-1	PBM	N
M00260_2.00	ARX	PBM	Y
M00260_2.00	OTP	PBM	N
M00260_2.00	NKX1-2	PBM	N
M00261_2.00	OTP	PBM	N
M00261_2.00	ARX	PBM	Y
M00261_2.00	SEBOX	PBM	N
