Motif	Factor	Evidence	Curated
M00008_2.00	hmga2.S	PBM	N
M00008_2.00	hmga2.L	PBM	N
M00045_2.00	foxi4.1.L	PBM	N
M00045_2.00	CAD31849	PBM	N
M00056_2.00	CAA49768	PBM	N
M00056_2.00	arx.S	PBM	N
M00056_2.00	en1.L	PBM	N
M00056_2.00	hbox10.S	PBM	N
M00056_2.00	gbx2.2.L	PBM	N
M00056_2.00	AAB19630	PBM	N
M00056_2.00	phox2a.S	PBM	N
M00056_2.00	vsx1.L	PBM	N
M00056_2.00	en1.S	PBM	N
M00056_2.00	gbx2.1.L	PBM	N
M00056_2.00	msx1.S	PBM	N
M00056_2.00	en2.L	PBM	N
M00056_2.00	AAI46639	PBM	N
M00056_2.00	rax.S	PBM	N
M00056_2.00	AAR19766	PBM	N
M00056_2.00	rax2.S	PBM	N
M00056_2.00	phox2b.S	PBM	N
M00056_2.00	hesx1.S	PBM	N
M00056_2.00	alx1.L	PBM	N
M00056_2.00	AAI57496	PBM	N
M00056_2.00	rax.L	PBM	N
M00056_2.00	msx2.L	PBM	N
M00056_2.00	en2.S	PBM	N
M00056_2.00	mixer.L	PBM	N
M00056_2.00	arx.L	PBM	N
M00056_2.00	hesx1.L	PBM	N
M00056_2.00	msx1.L	PBM	N
M00056_2.00	rax2.L	PBM	N
M00056_2.00	mixl1.L	PBM	N
M00060_2.00	hsf2.L	PBM	N
M00066_2.00	rfx2.S	PBM	N
M00070_2.00	sox7.L	PBM	N
M00070_2.00	sox13.S	PBM	N
M00070_2.00	sox17b.2.L	PBM	N
M00070_2.00	sox4.L	PBM	N
M00070_2.00	sox3.S	PBM	N
M00070_2.00	sox18.L	PBM	N
M00070_2.00	sox17a.S	PBM	N
M00070_2.00	sox9.S	PBM	N
M00070_2.00	sox4.S	PBM	N
M00070_2.00	sox15.L	PBM	N
M00070_2.00	sox17b.1.S	PBM	N
M00070_2.00	sox12.S	PBM	N
M00070_2.00	sox11.L	PBM	N
M00070_2.00	sox18.S	PBM	N
M00070_2.00	sox5.S	PBM	N
M00070_2.00	sox14.S	PBM	N
M00070_2.00	sox21.S	PBM	N
M00070_2.00	sox8.L	PBM	N
M00070_2.00	sox9.L	PBM	N
M00070_2.00	sox1.S	PBM	N
M00070_2.00	sox17a.L	PBM	N
M00070_2.00	BAE47507	PBM	N
M00070_2.00	ABY90180	PBM	N
M00070_2.00	AAH89283	PBM	N
M00070_2.00	AAG17026	PBM	N
M00070_2.00	sox2.S	PBM	N
M00070_2.00	sox10.L	PBM	N
M00070_2.00	sox11.S	PBM	N
M00111_2.00	tfap2a.L	PBM	N
M00111_2.00	tfap2e.L	PBM	N
M00111_2.00	tfap2c.S	PBM	N
M00111_2.00	AAH59962	PBM	N
M00111_2.00	tfap2a.S	PBM	N
M00111_2.00	tfap2b.L	PBM	N
M00112_2.00	tfap2b.L	PBM	N
M00112_2.00	tfap2c.S	PBM	N
M00112_2.00	tfap2e.L	PBM	N
M00112_2.00	AAH59962	PBM	N
M00112_2.00	tfap2a.S	PBM	N
M00112_2.00	tfap2a.L	PBM	N
M00113_2.00	tfap2e.L	PBM	N
M00113_2.00	tfap2b.L	PBM	N
M00113_2.00	tfap2c.S	PBM	N
M00113_2.00	tfap2a.S	PBM	N
M00113_2.00	AAH59962	PBM	N
M00113_2.00	tfap2a.L	PBM	N
M00114_2.00	tfap2b.L	PBM	N
M00114_2.00	tfap2a.S	PBM	N
M00114_2.00	AAH59962	PBM	N
M00114_2.00	tfap2e.L	PBM	N
M00114_2.00	tfap2a.L	PBM	N
M00114_2.00	tfap2c.S	PBM	N
M00115_2.00	arid3a.S	PBM	N
M00115_2.00	arid3b.L	PBM	N
M00115_2.00	arid3a.L	PBM	N
M00117_2.00	ascl1.L	PBM	N
M00117_2.00	ascl1.S	PBM	N
M00118_2.00	tcf12.L	PBM	N
M00118_2.00	tcf12	PBM	N
M00118_2.00	tcf4.S	PBM	N
M00118_2.00	AAH44064	PBM	N
M00118_2.00	AAA92048	PBM	N
M00118_2.00	AAA92050	PBM	N
M00118_2.00	tcf3.L	PBM	N
M00119_2.00	bhlhe40.S	PBM	N
M00119_2.00	bhlhe40.L	PBM	N
M00120_2.00	AAB22139	PBM	N
M00120_2.00	myf6.L	PBM	N
M00120_2.00	ABU42126	PBM	N
M00120_2.00	AAO11649	PBM	N
M00120_2.00	myog.S	PBM	N
M00120_2.00	myog.L	PBM	N
M00120_2.00	AAB21580	PBM	N
M00120_2.00	myf5.L	PBM	N
M00120_2.00	myf6.S	PBM	N
M00121_2.00	max.L	PBM	N
M00121_2.00	max.S	PBM	N
M00122_2.00	max.L	PBM	N
M00122_2.00	max.S	PBM	N
M00123_2.00	mafb.S	PBM	N
M00123_2.00	maff.S	PBM	N
M00124_2.00	creb1.S	PBM	N
M00124_2.00	atf1.L	PBM	N
M00124_2.00	AAH92037	PBM	N
M00125_2.00	atf3.L	PBM	N
M00126_2.00	mafb.S	PBM	N
M00126_2.00	maff.S	PBM	N
M00129_2.00	glis2.L	PBM	N
M00132_2.00	osr2.L	PBM	N
M00132_2.00	CAJ80803	PBM	N
M00132_2.00	osr2.S	PBM	N
M00133_2.00	sp3.S	PBM	N
M00133_2.00	sp1.L	PBM	N
M00133_2.00	sp4.L	PBM	N
M00133_2.00	sp5.S	PBM	N
M00133_2.00	sp8.L	PBM	N
M00133_2.00	sp5l.S	PBM	N
M00133_2.00	sp5.L	PBM	N
M00134_2.00	klf17.L	PBM	N
M00134_2.00	klf6.S	PBM	N
M00134_2.00	klf2.S	PBM	N
M00134_2.00	klf8.L	PBM	N
M00134_2.00	klf6.L	PBM	N
M00134_2.00	klf7.S	PBM	N
M00134_2.00	AEK12773	PBM	N
M00134_2.00	klf17.1.S	PBM	N
M00136_2.00	mtf1.L	PBM	N
M00137_2.00	zic3.S	PBM	N
M00137_2.00	zic2.L	PBM	N
M00137_2.00	zic4.L	PBM	N
M00137_2.00	zic5.S	PBM	N
M00137_2.00	zic2.S	PBM	N
M00137_2.00	zic1.S	PBM	N
M00143_2.00	znf740.S	PBM	N
M00144_2.00	osr2.S	PBM	N
M00144_2.00	osr2.L	PBM	N
M00144_2.00	CAJ80803	PBM	N
M00146_2.00	zbtb12.L	PBM	N
M00150_2.00	zic2.S	PBM	N
M00150_2.00	zic3.S	PBM	N
M00150_2.00	zic4.L	PBM	N
M00150_2.00	zic5.S	PBM	N
M00150_2.00	zic2.L	PBM	N
M00150_2.00	zic1.S	PBM	N
M00151_2.00	zic4.L	PBM	N
M00151_2.00	zic2.L	PBM	N
M00151_2.00	zic1.S	PBM	N
M00151_2.00	zic5.S	PBM	N
M00151_2.00	zic3.S	PBM	N
M00151_2.00	zic2.S	PBM	N
M00153_2.00	e2f4.S	PBM	N
M00153_2.00	e2f3.S	PBM	N
M00153_2.00	e2f6.L	PBM	N
M00153_2.00	e2f1.L	PBM	N
M00154_2.00	e2f1.L	PBM	N
M00154_2.00	e2f3.S	PBM	N
M00154_2.00	e2f6.L	PBM	N
M00154_2.00	e2f4.S	PBM	N
M00155_2.00	spib.S	PBM	N
M00155_2.00	spib.L	PBM	N
M00155_2.00	spic.L	PBM	N
M00156_2.00	elf1.L	PBM	N
M00156_2.00	elf2.L	PBM	N
M00156_2.00	etv6.S	PBM	N
M00156_2.00	elf1.S	PBM	N
M00157_2.00	elf1.S	PBM	N
M00157_2.00	gabpa.L	PBM	N
M00157_2.00	elf2.L	PBM	N
M00157_2.00	erf.S	PBM	N
M00157_2.00	elf1.L	PBM	N
M00157_2.00	AAH72827	PBM	N
M00157_2.00	elk4.L	PBM	N
M00157_2.00	etv1.S	PBM	N
M00157_2.00	elk3.L	PBM	N
M00157_2.00	etv3.L	PBM	N
M00157_2.00	AAI00223	PBM	N
M00157_2.00	ets1.S	PBM	N
M00157_2.00	etv4.L	PBM	N
M00157_2.00	fli1.L	PBM	N
M00157_2.00	AAH73350	PBM	N
M00157_2.00	ets2.L	PBM	N
M00157_2.00	elk4.S	PBM	N
M00157_2.00	fli1.S	PBM	N
M00157_2.00	etv2.L	PBM	N
M00157_2.00	etv3l.S	PBM	N
M00157_2.00	gabpa.S	PBM	N
M00157_2.00	elk1.S	PBM	N
M00157_2.00	ets2.S	PBM	N
M00157_2.00	erg.L	PBM	N
M00157_2.00	ets1.L	PBM	N
M00158_2.00	elf1.L	PBM	N
M00158_2.00	elf2.L	PBM	N
M00158_2.00	elf1.S	PBM	N
M00158_2.00	etv6.S	PBM	N
M00159_2.00	elf1.L	PBM	N
M00159_2.00	elf1.S	PBM	N
M00159_2.00	elf2.L	PBM	N
M00160_2.00	foxe3.L	PBM	N
M00160_2.00	foxg1.L	PBM	N
M00160_2.00	foxi1.L	PBM	N
M00160_2.00	foxi4.1.L	PBM	N
M00160_2.00	foxd4l1.1.L	PBM	N
M00160_2.00	CAH64538	PBM	N
M00160_2.00	foxk2.L	PBM	N
M00160_2.00	foxd4l1.2.L	PBM	N
M00160_2.00	foxj1.L	PBM	N
M00160_2.00	foxj1.S	PBM	N
M00160_2.00	foxd4l1.1.S	PBM	N
M00160_2.00	CAH64537	PBM	N
M00160_2.00	foxj2.L	PBM	N
M00160_2.00	AAF34705	PBM	N
M00160_2.00	foxi2.S	PBM	N
M00160_2.00	foxp4.S	PBM	N
M00160_2.00	AAI24873	PBM	N
M00160_2.00	CAD31849	PBM	N
M00161_2.00	foxj1.L	PBM	N
M00161_2.00	foxj1.S	PBM	N
M00161_2.00	foxj1.2.L	PBM	N
M00162_2.00	AAD03479	PBM	N
M00162_2.00	foxa4.S	PBM	N
M00162_2.00	AAD03481	PBM	N
M00162_2.00	foxa2.L	PBM	N
M00162_2.00	foxb1.S	PBM	N
M00162_2.00	CAD31848	PBM	N
M00162_2.00	foxa4.L	PBM	N
M00162_2.00	foxa1.S	PBM	N
M00163_2.00	foxk2.L	PBM	N
M00163_2.00	foxi2.S	PBM	N
M00163_2.00	foxj2.L	PBM	N
M00163_2.00	CAD31849	PBM	N
M00163_2.00	foxi4.1.L	PBM	N
M00163_2.00	AAI24873	PBM	N
M00163_2.00	foxi1.L	PBM	N
M00163_2.00	foxi4.2.L	PBM	N
M00164_2.00	foxd4l1.1.S	PBM	N
M00164_2.00	foxc1.L	PBM	N
M00164_2.00	foxf1.L	PBM	N
M00164_2.00	foxe1.L	PBM	N
M00164_2.00	foxc2.L	PBM	N
M00164_2.00	foxd2.S	PBM	N
M00164_2.00	foxg1.L	PBM	N
M00164_2.00	foxd1.L	PBM	N
M00164_2.00	foxd3.L	PBM	N
M00164_2.00	foxe3.L	PBM	N
M00164_2.00	foxd4l1.2.L	PBM	N
M00164_2.00	CAH64538	PBM	N
M00164_2.00	foxc2.S	PBM	N
M00164_2.00	CAB54143	PBM	N
M00164_2.00	CAC12963	PBM	N
M00164_2.00	CAD31849	PBM	N
M00164_2.00	CAH64537	PBM	N
M00164_2.00	foxg1.S	PBM	N
M00164_2.00	CAB44731	PBM	N
M00164_2.00	foxi1.L	PBM	N
M00164_2.00	foxl2.S	PBM	N
M00164_2.00	foxd4l1.1.L	PBM	N
M00164_2.00	foxc1.S	PBM	N
