Motif	Factor	Evidence	Curated
M00008_2.00	hmga2	PBM	N
M00045_2.00	foxi2	PBM	N
M00045_2.00	foxi4.1	PBM	N
M00056_2.00	XP_002938457	PBM	N
M00056_2.00	msx1	PBM	N
M00056_2.00	rax	PBM	N
M00056_2.00	rax2	PBM	N
M00056_2.00	isx	PBM	N
M00056_2.00	gbx2.2	PBM	N
M00056_2.00	msx2	PBM	N
M00056_2.00	alx1	PBM	N
M00056_2.00	en2	PBM	N
M00056_2.00	vsx1	PBM	N
M00056_2.00	vsx2	PBM	N
M00056_2.00	gbx2.1	PBM	N
M00056_2.00	shox	PBM	N
M00056_2.00	prrx2	PBM	N
M00056_2.00	XP_002932047	PBM	N
M00056_2.00	XP_002937332	PBM	N
M00056_2.00	XP_002939787	PBM	N
M00056_2.00	XP_002940794	PBM	N
M00056_2.00	XP_002940917	PBM	N
M00056_2.00	XP_002941810	PBM	N
M00056_2.00	mixer	PBM	N
M00056_2.00	mixl1	PBM	N
M00056_2.00	alx4	PBM	N
M00056_2.00	AAI58894	PBM	N
M00056_2.00	otp	PBM	N
M00056_2.00	prrx1	PBM	N
M00056_2.00	arx	PBM	N
M00056_2.00	hesx1	PBM	N
M00056_2.00	shox2	PBM	N
M00056_2.00	phox2b	PBM	N
M00056_2.00	AAZ04405	PBM	N
M00056_2.00	AAZ04404	PBM	N
M00060_2.00	XP_002937262	PBM	N
M00060_2.00	XP_002937261	PBM	N
M00066_2.00	XP_002940666	PBM	N
M00066_2.00	rfx2	PBM	N
M00066_2.00	XP_002934229	PBM	N
M00066_2.00	rfx3	PBM	N
M00070_2.00	B1H349	PBM	N
M00070_2.00	AAY98914	PBM	N
M00070_2.00	sox14	PBM	N
M00070_2.00	AAT72000	PBM	N
M00070_2.00	XP_002942914	PBM	N
M00070_2.00	sox5	PBM	N
M00070_2.00	sox15	PBM	N
M00070_2.00	AAT71998	PBM	N
M00070_2.00	sox1	PBM	N
M00070_2.00	AAT71997	PBM	N
M00070_2.00	sox21	PBM	N
M00070_2.00	sox17b.2	PBM	N
M00070_2.00	sox3	PBM	N
M00070_2.00	sox17b.1	PBM	N
M00070_2.00	sox12	PBM	N
M00070_2.00	sox11	PBM	N
M00070_2.00	sox18	PBM	N
M00070_2.00	sox13	PBM	N
M00070_2.00	sox6	PBM	N
M00070_2.00	sox7	PBM	N
M00070_2.00	sox9	PBM	N
M00070_2.00	sox17a	PBM	N
M00070_2.00	cic	PBM	N
M00070_2.00	sox8	PBM	N
M00070_2.00	sox4	PBM	N
M00070_2.00	sox2	PBM	N
M00070_2.00	sox10	PBM	N
M00070_2.00	AAT71996	PBM	N
M00111_2.00	tfap2e	PBM	N
M00111_2.00	tfap2d	PBM	N
M00111_2.00	tfap2c	PBM	N
M00111_2.00	tfap2a	PBM	N
M00111_2.00	tfap2b	PBM	N
M00112_2.00	tfap2c	PBM	N
M00112_2.00	tfap2a	PBM	N
M00112_2.00	tfap2b	PBM	N
M00112_2.00	tfap2e	PBM	N
M00112_2.00	tfap2d	PBM	N
M00113_2.00	tfap2c	PBM	N
M00113_2.00	tfap2e	PBM	N
M00113_2.00	tfap2b	PBM	N
M00113_2.00	tfap2a	PBM	N
M00113_2.00	tfap2d	PBM	N
M00114_2.00	tfap2c	PBM	N
M00114_2.00	tfap2a	PBM	N
M00114_2.00	tfap2b	PBM	N
M00114_2.00	tfap2d	PBM	N
M00114_2.00	tfap2e	PBM	N
M00115_2.00	arid3a	PBM	N
M00115_2.00	arid3b	PBM	N
M00116_2.00	arid5b	PBM	N
M00117_2.00	ascl1	PBM	N
M00118_2.00	tcf4	PBM	N
M00118_2.00	tcf3	PBM	N
M00118_2.00	tcf12	PBM	N
M00119_2.00	bhlhe41	PBM	N
M00119_2.00	bhlhe40	PBM	N
M00120_2.00	myf5	PBM	N
M00120_2.00	AAL11024	PBM	N
M00120_2.00	myog	PBM	N
M00120_2.00	myf6	PBM	N
M00121_2.00	max	PBM	N
M00122_2.00	max	PBM	N
M00123_2.00	mafk	PBM	N
M00123_2.00	maf	PBM	N
M00123_2.00	XP_002937352	PBM	N
M00123_2.00	mafa	PBM	N
M00123_2.00	mafb	PBM	N
M00123_2.00	maff	PBM	N
M00124_2.00	atf1	PBM	N
M00124_2.00	creb1	PBM	N
M00124_2.00	crem	PBM	N
M00125_2.00	atf3	PBM	N
M00125_2.00	fosl1	PBM	N
M00126_2.00	mafb	PBM	N
M00126_2.00	maf	PBM	N
M00126_2.00	mafa	PBM	N
M00126_2.00	maff	PBM	N
M00126_2.00	mafk	PBM	N
