"","x"
"1","chr1_3094484_3095479"
"2","chr1_3113499_3113979"
"3","chr1_3119478_3121690"
"4","chr1_3210296_3210588"
"5","chr1_3292658_3292901"
"6","chr1_3371658_3371877"
"7","chr1_3399730_3400368"
"8","chr1_3406204_3406367"
"9","chr1_3662628_3662985"
"10","chr1_3670341_3672814"
"11","chr1_3842037_3842453"
"12","chr1_3900234_3900826"
"13","chr1_3903491_3903890"
"14","chr1_4228343_4228465"
"15","chr1_4332443_4332650"
"16","chr1_4412574_4412607"
"17","chr1_4414242_4414491"
"18","chr1_4491466_4493625"
"19","chr1_4496268_4496989"
"20","chr1_4497513_4497727"
"21","chr1_4527368_4527602"
"22","chr1_4571164_4572517"
"23","chr1_4766752_4767089"
"24","chr1_4768381_4768717"
"25","chr1_4770073_4770206"
"26","chr1_4780116_4780437"
"27","chr1_4785070_4786427"
"28","chr1_4807300_4808612"
"29","chr1_4856968_4858792"
"30","chr1_4917610_4917698"
"31","chr1_4923079_4923671"
"32","chr1_4926311_4926643"
"33","chr1_4970515_4971519"
"34","chr1_5012834_5013197"
"35","chr1_5017775_5020929"
"36","chr1_5022483_5024600"
"37","chr1_5033262_5033551"
"38","chr1_5070185_5070664"
"39","chr1_5082608_5083817"
"40","chr1_5170568_5170803"
"41","chr1_5232611_5233257"
"42","chr1_5588204_5588814"
"43","chr1_5915279_5915771"
"44","chr1_5916637_5917721"
"45","chr1_6135314_6135364"
"46","chr1_6213935_6215723"
"47","chr1_6272218_6272629"
"48","chr1_6282444_6282733"
"49","chr1_6288373_6288953"
"50","chr1_6289806_6290064"
"51","chr1_6320491_6320941"
"52","chr1_6359012_6359614"
"53","chr1_6382453_6383713"
"54","chr1_6406268_6406771"
"55","chr1_6410124_6410443"
"56","chr1_6440960_6441899"
"57","chr1_6483230_6484092"
"58","chr1_6520957_6521022"
"59","chr1_6729082_6730236"
"60","chr1_6732362_6732719"
"61","chr1_6733715_6733914"
"62","chr1_6734695_6735913"
"63","chr1_6752150_6752525"
"64","chr1_6760576_6761671"
"65","chr1_6770067_6770222"
"66","chr1_6790111_6790524"
"67","chr1_6800144_6800940"
"68","chr1_6825086_6825937"
"69","chr1_6859035_6859432"
"70","chr1_6867045_6867145"
"71","chr1_6928689_6929063"
"72","chr1_7088035_7089816"
"73","chr1_7138584_7139601"
"74","chr1_7204775_7205178"
"75","chr1_7206326_7207080"
