"","x"
"1","chr1_3094484_3095479"
"2","chr1_3113499_3113979"
"3","chr1_3119478_3121690"
"4","chr1_3399730_3400368"
"5","chr1_3662628_3662985"
"6","chr1_3670341_3672814"
"7","chr1_3842037_3842453"
"8","chr1_3900234_3900826"
"9","chr1_3903491_3903890"
"10","chr1_4491466_4493625"
"11","chr1_4496268_4496989"
"12","chr1_4571164_4572517"
"13","chr1_4768381_4768717"
"14","chr1_4780116_4780437"
"15","chr1_4785070_4786427"
"16","chr1_4807300_4808612"
"17","chr1_4856968_4858792"
"18","chr1_4923079_4923671"
"19","chr1_4970515_4971519"
"20","chr1_5012834_5013197"
"21","chr1_5017775_5020929"
"22","chr1_5022483_5024600"
"23","chr1_5070185_5070664"
"24","chr1_5082608_5083817"
"25","chr1_5232611_5233257"
"26","chr1_5588204_5588814"
"27","chr1_5915279_5915771"
"28","chr1_5916637_5917721"
"29","chr1_6213935_6215723"
"30","chr1_6272218_6272629"
"31","chr1_6288373_6288953"
"32","chr1_6320491_6320941"
"33","chr1_6359012_6359614"
"34","chr1_6382453_6383713"
"35","chr1_6406268_6406771"
"36","chr1_6440960_6441899"
"37","chr1_6483230_6484092"
"38","chr1_6729082_6730236"
"39","chr1_6732362_6732719"
"40","chr1_6734695_6735913"
"41","chr1_6752150_6752525"
"42","chr1_6760576_6761671"
"43","chr1_6790111_6790524"
"44","chr1_6800144_6800940"
"45","chr1_6825086_6825937"
"46","chr1_6859035_6859432"
"47","chr1_6928689_6929063"
"48","chr1_7088035_7089816"
"49","chr1_7138584_7139601"
"50","chr1_7204775_7205178"
"51","chr1_7206326_7207080"
"52","chr1_7395468_7395941"
"53","chr1_7396817_7399055"
"54","chr1_9298338_9301010"
"55","chr1_9541172_9541699"
"56","chr1_9544824_9546376"
"57","chr1_9547893_9548358"
"58","chr1_9548950_9549353"
"59","chr1_9564421_9564938"
"60","chr1_9573177_9573658"
"61","chr1_9583560_9584287"
"62","chr1_9600951_9602077"
"63","chr1_9622469_9623058"
"64","chr1_9627289_9628021"
"65","chr1_9629355_9630937"
"66","chr1_9649211_9649581"
"67","chr1_9696779_9697200"
"68","chr1_9699673_9701330"
"69","chr1_9747403_9748905"
"70","chr1_9772716_9773361"
"71","chr1_9797510_9799039"
"72","chr1_9815588_9816250"
"73","chr1_9847625_9848970"
"74","chr1_9908410_9908839"
"75","chr1_9942929_9944655"
