Motif	Factor	Evidence	Curated
M00008_2.00	Hmga1	PBM	N
M00008_2.00	Hmga1-rs1	PBM	N
M00044_2.00	Foxp3	PBM	N
M00056_2.00	Prrxl1	PBM	N
M00056_2.00	Hesx1	PBM	N
M00060_2.00	Hsf4	PBM	N
M00111_2.00	Tfap2a	PBM	Y
M00111_2.00	Tfap2d	PBM	N
M00112_2.00	Tfap2b	PBM	Y
M00112_2.00	Tfap2d	PBM	N
M00113_2.00	Tfap2c	PBM	Y
M00113_2.00	Tfap2d	PBM	N
M00114_2.00	Tfap2e	PBM	Y
M00114_2.00	Tfap2d	PBM	N
M00115_2.00	Arid3c	PBM	N
M00115_2.00	Arid3a	PBM	Y
M00116_2.00	Arid5a	PBM	Y
M00117_2.00	Ascl2	PBM	Y
M00118_2.00	Tcf3	PBM	Y
M00119_2.00	Bhlhe40	PBM	Y
M00120_2.00	Myf6	PBM	Y
M00121_2.00	Max	PBM	Y
M00122_2.00	Max	PBM	Y
M00123_2.00	Mafk	PBM	Y
M00124_2.00	Atf1	PBM	Y
M00125_2.00	Jdp2	PBM	Y
M00126_2.00	Mafb	PBM	Y
M00127_2.00	EDL38120.1	PBM	Y
M00128_2.00	Bcl6b	PBM	Y
M00129_2.00	Glis2	PBM	Y
M00130_2.00	Plagl1	PBM	Y
M00131_2.00	Zscan26	PBM	Y
M00132_2.00	Osr2	PBM	Y
M00133_2.00	Sp4	PBM	Y
M00133_2.00	Sp8	PBM	N
M00133_2.00	Sp9	PBM	N
M00134_2.00	Klf2	PBM	N
M00134_2.00	Klf7	PBM	Y
M00135_2.00	Zbtb7b	PBM	Y
M00136_2.00	Mtf1	PBM	Y
M00137_2.00	Zic4	PBM	N
M00137_2.00	Zic1	PBM	Y
M00138_2.00	Egr1	PBM	Y
M00139_2.00	Zfp281	PBM	Y
M00140_2.00	Zfp410	PBM	Y
M00141_2.00	Hic1	PBM	Y
M00141_2.00	Hic2	PBM	N
M00142_2.00	Zfp691	PBM	Y
M00143_2.00	Zfp740	PBM	Y
M00144_2.00	Osr1	PBM	Y
M00145_2.00	Zbtb14	PBM	Y
M00146_2.00	Zbtb12	PBM	Y
M00147_2.00	Zscan4c	PBM	Y
M00147_2.00	Zscan4f	PBM	N
M00147_2.00	Zscan4b	PBM	N
M00147_2.00	Zscan4d	PBM	N
M00148_2.00	Zfp105	PBM	Y
M00149_2.00	Zfp128	PBM	Y
M00150_2.00	Zic4	PBM	N
M00150_2.00	Zic2	PBM	Y
M00151_2.00	Zic4	PBM	N
M00151_2.00	Zic3	PBM	Y
M00152_2.00	Zbtb3	PBM	Y
M00153_2.00	E2f3	PBM	Y
M00154_2.00	E2f2	PBM	Y
M00155_2.00	Spi1	PBM	Y
M00156_2.00	Elf3	PBM	Y
M00157_2.00	Gabpa	PBM	Y
M00157_2.00	Erf	PBM	N
M00158_2.00	Ehf	PBM	Y
M00159_2.00	Spdef	PBM	Y
M00160_2.00	Foxi3	PBM	N
M00160_2.00	Foxj3	PBM	Y
M00160_2.00	Foxk2	PBM	N
M00160_2.00	Foxi2	PBM	N
M00160_2.00	Foxp3	PBM	N
M00160_2.00	Foxp4	PBM	N
M00160_2.00	Foxd2	PBM	N
M00161_2.00	Foxj1	PBM	Y
M00162_2.00	Foxb2	PBM	N
M00162_2.00	Foxa2	PBM	Y
M00163_2.00	Foxk1	PBM	Y
M00163_2.00	Foxk2	PBM	N
M00164_2.00	Foxf2	PBM	N
M00164_2.00	Foxs1	PBM	N
M00164_2.00	Foxe3	PBM	N
M00164_2.00	Foxd4	PBM	N
M00164_2.00	Foxf1	PBM	N
M00164_2.00	Foxe1	PBM	N
M00164_2.00	Foxi2	PBM	N
M00164_2.00	Foxd2	PBM	N
M00164_2.00	Foxi3	PBM	N
M00164_2.00	Foxl1	PBM	Y
M00165_2.00	Gata6	PBM	Y
M00166_2.00	Gata3	PBM	Y
M00167_2.00	Gata5	PBM	Y
M00168_2.00	Gcm2	PBM	N
M00168_2.00	Gcm1	PBM	Y
M00169_2.00	Six6	PBM	Y
M00170_2.00	Nkx3-1	PBM	Y
M00171_2.00	Hnf1a	PBM	Y
M00172_2.00	Hmx3	PBM	N
M00172_2.00	Hoxa3	PBM	Y
M00172_2.00	Gsx1	PBM	N
M00172_2.00	Hoxb2	PBM	N
M00172_2.00	Hoxd4	PBM	N
M00172_2.00	Emx1	PBM	N
M00172_2.00	Dlx6	PBM	N
M00172_2.00	Hoxb1	PBM	N
M00172_2.00	Prrxl1	PBM	N
M00173_2.00	Irf9	PBM	Y
M00174_2.00	Irf3	PBM	Y
M00175_2.00	Irf4	PBM	Y
M00176_2.00	Irf6	PBM	Y
M00177_2.00	Irf5	PBM	Y
M00178_2.00	Srf	PBM	Y
M00179_2.00	Myb	PBM	Y
M00180_2.00	Mybl1	PBM	Y
M00181_2.00	Rxra	PBM	Y
M00181_2.00	Thrb	PBM	N
M00181_2.00	Ppard	PBM	N
M00181_2.00	Nr6a1	PBM	N
M00181_2.00	Nr4a3	PBM	N
M00182_2.00	Hnf4a	PBM	Y
M00182_2.00	Nr6a1	PBM	N
M00183_2.00	Esrra	PBM	Y
M00184_2.00	Nr1h5	PBM	N
M00184_2.00	Nr2f2	PBM	Y
M00184_2.00	Nr4a3	PBM	N
M00184_2.00	Thrb	PBM	N
M00184_2.00	Nr6a1	PBM	N
M00184_2.00	Ppard	PBM	N
M00185_2.00	Nr1h5	PBM	N
M00185_2.00	Nr6a1	PBM	N
M00185_2.00	Rara	PBM	Y
M00185_2.00	Ppard	PBM	N
M00186_2.00	Rfx4	PBM	Y
M00186_2.00	Rfx8	PBM	N
M00187_2.00	Rfx5	PBM	N
M00187_2.00	Rfx7	PBM	Y
M00188_2.00	Rfx8	PBM	N
M00188_2.00	Rfx3	PBM	Y
M00189_2.00	Sp100	PBM	Y
M00190_2.00	Gmeb1	PBM	Y
M00191_2.00	Sp140	PBM	N
M00191_2.00	XP_001473574.2	PBM	Y
M00192_2.00	Smad3	PBM	Y
M00193_2.00	Tcf7	PBM	Y
M00194_2.00	Hbp1	PBM	Y
M00195_2.00	Cic	PBM	Y
M00196_2.00	Bbx	PBM	Y
M00197_2.00	Sox8	PBM	Y
M00198_2.00	Tcf7l2	PBM	Y
M00199_2.00	Sox17	PBM	Y
M00200_2.00	Lef1	PBM	Y
M00201_2.00	Sox30	PBM	Y
M00202_2.00	Sox15	PBM	Y
M00203_2.00	Sox5	PBM	Y
M00204_2.00	Sox18	PBM	Y
M00205_2.00	Sox12	PBM	Y
M00206_2.00	Sox14	PBM	Y
M00207_2.00	Tcf7l1	PBM	Y
M00208_2.00	Sox21	PBM	Y
M00209_2.00	Sox7	PBM	Y
M00210_2.00	Sox11	PBM	Y
M00211_2.00	Sry	PBM	Y
M00212_2.00	Sox13	PBM	Y
M00213_2.00	Sox4	PBM	Y
M00214_2.00	Sox1	PBM	Y
M00215_2.00	Eomes	PBM	Y
M00216_2.00	Tbpl2	PBM	N
M00216_2.00	Tbp	PBM	Y
M00224_2.00	Klf2	PBM	N
M00226_2.00	Klf2	PBM	N
M00232_2.00	Egr4	PBM	N
M00233_2.00	Egr4	PBM	N
M00241_2.00	Klf10	PBM	N
M00241_2.00	Klf11	PBM	N
M00242_2.00	Klf10	PBM	N
M00242_2.00	Klf11	PBM	N
M00253_2.00	Foxd2	PBM	N
M00253_2.00	Foxf2	PBM	N
M00253_2.00	Foxk2	PBM	N
M00253_2.00	Foxf1	PBM	N
