Motif	Factor	Evidence	Curated
M00008_2.00	GF18425	PBM	N
M00056_2.00	GF23351	PBM	N
M00056_2.00	GF21193	PBM	N
M00056_2.00	GF12559	PBM	N
M00056_2.00	GF12058	PBM	N
M00056_2.00	GF13323	PBM	N
M00056_2.00	GF14108	PBM	N
M00056_2.00	GF20486	PBM	N
M00056_2.00	GF15246	PBM	N
M00056_2.00	GF12393	PBM	N
M00056_2.00	GF12737	PBM	N
M00056_2.00	GF12736	PBM	N
M00056_2.00	GF19455	PBM	N
M00056_2.00	GF15026	PBM	N
M00056_2.00	GF21089	PBM	N
M00056_2.00	GF18562	PBM	N
M00056_2.00	GF19454	PBM	N
M00056_2.00	GF19173	PBM	N
M00056_2.00	GF23072	PBM	N
M00056_2.00	GF11812	PBM	N
M00056_2.00	GF20646	PBM	N
M00066_2.00	GF17463	PBM	N
M00070_2.00	GF25204	PBM	N
M00070_2.00	GF18413	PBM	N
M00070_2.00	GF17645	PBM	N
M00070_2.00	GF12887	PBM	N
M00070_2.00	GF15546	PBM	N
M00070_2.00	GF25206	PBM	N
M00070_2.00	GF20041	PBM	N
M00070_2.00	GF25205	PBM	N
M00070_2.00	GF12898	PBM	N
M00112_2.00	GF23730	PBM	N
M00114_2.00	GF23730	PBM	N
M00115_2.00	GF13069	PBM	N
M00124_2.00	GF22432	PBM	N
M00133_2.00	GF18887	PBM	N
M00134_2.00	GF12443	PBM	N
M00134_2.00	GF24217	PBM	N
M00153_2.00	GF15156	PBM	N
M00153_2.00	GF17810	PBM	N
M00154_2.00	GF15156	PBM	N
M00154_2.00	GF17810	PBM	N
M00156_2.00	GF23901	PBM	N
M00157_2.00	GF24707	PBM	N
M00157_2.00	GF15305	PBM	N
M00157_2.00	GF23517	PBM	N
M00157_2.00	GF23901	PBM	N
M00157_2.00	GF18013	PBM	N
M00157_2.00	GF23047	PBM	N
M00157_2.00	GF18561	PBM	N
M00158_2.00	GF23901	PBM	N
M00159_2.00	GF16302	PBM	N
M00159_2.00	GF23901	PBM	N
M00160_2.00	GF15038	PBM	N
M00160_2.00	GF13549	PBM	N
M00160_2.00	GF25022	PBM	N
M00162_2.00	GF17887	PBM	N
M00162_2.00	GF16437	PBM	N
M00162_2.00	GF25022	PBM	N
M00163_2.00	GF24569	PBM	N
M00164_2.00	GF15039	PBM	N
M00164_2.00	GF15038	PBM	N
M00164_2.00	GF23559	PBM	N
M00164_2.00	GF23557	PBM	N
M00164_2.00	GF25022	PBM	N
M00164_2.00	GF13549	PBM	N
M00165_2.00	GF16170	PBM	N
M00165_2.00	GF11891	PBM	N
M00166_2.00	GF16170	PBM	N
M00166_2.00	GF11891	PBM	N
M00167_2.00	GF16170	PBM	N
M00167_2.00	GF11891	PBM	N
M00169_2.00	GF13656	PBM	N
M00170_2.00	GF18600	PBM	N
M00172_2.00	GF19454	PBM	N
M00172_2.00	GF18562	PBM	N
M00172_2.00	GF11297	PBM	N
M00172_2.00	GF16414	PBM	N
M00172_2.00	GF20486	PBM	N
M00172_2.00	GF19455	PBM	N
M00172_2.00	GF11812	PBM	N
M00172_2.00	GF15246	PBM	N
M00172_2.00	GF16103	PBM	N
M00172_2.00	GF15475	PBM	N
M00172_2.00	GF19173	PBM	N
M00172_2.00	GF15212	PBM	N
M00172_2.00	GF18902	PBM	N
M00172_2.00	GF23072	PBM	N
M00172_2.00	GF21379	PBM	N
M00172_2.00	GF17789	PBM	N
M00172_2.00	GF12736	PBM	N
M00172_2.00	GF23077	PBM	N
M00172_2.00	GF13323	PBM	N
M00172_2.00	GF12559	PBM	N
M00172_2.00	GF14108	PBM	N
M00172_2.00	GF23351	PBM	N
M00172_2.00	GF17190	PBM	N
M00172_2.00	GF17487	PBM	N
M00172_2.00	GF12393	PBM	N
M00172_2.00	GF15026	PBM	N
M00172_2.00	GF20646	PBM	N
M00172_2.00	GF12737	PBM	N
M00172_2.00	GF23802	PBM	N
M00172_2.00	GF12058	PBM	N
M00172_2.00	GF17790	PBM	N
M00172_2.00	GF12182	PBM	N
M00172_2.00	GF16143	PBM	N
M00172_2.00	GF10750	PBM	N
M00172_2.00	GF17792	PBM	N
M00172_2.00	GF17795	PBM	N
M00172_2.00	GF17797	PBM	N
M00172_2.00	GF17798	PBM	N
M00172_2.00	GF17803	PBM	N
M00178_2.00	GF11392	PBM	N
M00181_2.00	GF24303	PBM	N
M00181_2.00	GF21986	PBM	N
M00181_2.00	GF12134	PBM	N
M00181_2.00	GF24702	PBM	N
M00181_2.00	GF10710	PBM	N
M00181_2.00	GF14553	PBM	N
M00181_2.00	GF17240	PBM	N
M00181_2.00	GF22191	PBM	N
M00181_2.00	GF10806	PBM	N
M00182_2.00	GF22927	PBM	N
M00182_2.00	GF17240	PBM	N
M00182_2.00	GF14359	PBM	N
M00182_2.00	GF21986	PBM	N
M00183_2.00	GF24702	PBM	N
M00184_2.00	GF22191	PBM	N
M00184_2.00	GF21986	PBM	N
M00184_2.00	GF17240	PBM	N
M00184_2.00	GF24303	PBM	N
M00184_2.00	GF14359	PBM	N
M00184_2.00	GF12134	PBM	N
M00184_2.00	GF10710	PBM	N
M00184_2.00	GF10806	PBM	N
M00184_2.00	GF13818	PBM	N
M00185_2.00	GF12134	PBM	N
M00185_2.00	GF22191	PBM	N
M00185_2.00	GF10710	PBM	N
M00185_2.00	GF10806	PBM	N
M00185_2.00	GF24303	PBM	N
M00185_2.00	GF21986	PBM	N
M00185_2.00	GF17240	PBM	N
M00186_2.00	GF17463	PBM	N
M00187_2.00	GF16654	PBM	N
M00188_2.00	GF17463	PBM	N
M00193_2.00	GF19332	PBM	N
M00195_2.00	GF20922	PBM	N
M00195_2.00	GF17645	PBM	N
M00196_2.00	GF20922	PBM	N
M00197_2.00	GF12887	PBM	N
M00197_2.00	GF20041	PBM	N
M00197_2.00	GF25204	PBM	N
M00197_2.00	GF25205	PBM	N
M00197_2.00	GF12898	PBM	N
M00197_2.00	GF25206	PBM	N
M00197_2.00	GF15546	PBM	N
M00197_2.00	GF18413	PBM	N
M00198_2.00	GF19332	PBM	N
M00199_2.00	GF25205	PBM	N
M00199_2.00	GF12887	PBM	N
M00199_2.00	GF25204	PBM	N
M00199_2.00	GF20041	PBM	N
M00199_2.00	GF15546	PBM	N
M00199_2.00	GF18413	PBM	N
M00199_2.00	GF25206	PBM	N
M00199_2.00	GF12898	PBM	N
M00200_2.00	GF19332	PBM	N
