"","x"
"1","chr10_100006139_100006389"
"2","chr10_100015291_100017830"
"3","chr10_100018677_100020384"
"4","chr10_100021927_100023058"
"5","chr10_100050858_100051762"
"6","chr10_100052829_100053395"
"7","chr10_100065775_100066193"
"8","chr10_100111197_100111537"
"9","chr10_100128086_100128882"
"10","chr10_100170872_100171209"
"11","chr10_100282498_100282899"
"12","chr10_100486534_100488209"
"13","chr10_100519587_100519792"
"14","chr10_100520523_100521327"
"15","chr10_100556643_100557043"
"16","chr10_100588641_100589556"
"17","chr10_100617139_100617919"
"18","chr10_100629686_100630444"
"19","chr10_100685747_100686113"
"20","chr10_100700495_100700999"
"21","chr10_100741247_100742505"
"22","chr10_100795506_100796052"
"23","chr10_100827586_100828073"
"24","chr10_10086078_10086299"
"25","chr10_100865435_100865955"
"26","chr10_100927142_100927536"
"27","chr10_101003349_101003944"
"28","chr10_101004858_101005039"
"29","chr10_101013999_101014504"
"30","chr10_101015509_101015523"
"31","chr10_10107024_10107693"
"32","chr10_10113267_10113661"
"33","chr10_101189457_101189541"
"34","chr10_101287757_101288495"
"35","chr10_101316867_101317430"
"36","chr10_101321254_101321298"
"37","chr10_101350377_101350575"
"38","chr10_101373757_101374469"
"39","chr10_101399181_101399574"
"40","chr10_101516928_101517395"
"41","chr10_101681379_101682124"
"42","chr10_101808823_101809195"
"43","chr10_101906736_101906784"
"44","chr10_101997508_101998700"
"45","chr10_10215409_10215685"
"46","chr10_102158688_102159257"
"47","chr10_102184724_102185123"
"48","chr10_102417897_102418237"
"49","chr10_102435185_102435414"
"50","chr10_102449428_102449821"
"51","chr10_10247802_10248066"
"52","chr10_102491827_102492149"
"53","chr10_102511934_102512015"
"54","chr10_10252627_10253334"
"55","chr10_102594241_102594799"
"56","chr10_102633453_102633817"
"57","chr10_102686405_102687653"
"58","chr10_102689979_102690334"
"59","chr10_102836579_102836939"
"60","chr10_102870494_102870861"
"61","chr10_102877988_102878534"
"62","chr10_102892398_102892803"
"63","chr10_102896026_102896331"
"64","chr10_103026814_103029423"
"65","chr10_103194906_103195319"
"66","chr10_10320511_10321593"
"67","chr10_103235705_103236587"
"68","chr10_103253862_103254250"
"69","chr10_103309493_103309793"
"70","chr10_103340009_103340086"
"71","chr10_103366977_103369690"
"72","chr10_103370327_103370858"
"73","chr10_103402175_103402639"
"74","chr10_103442972_103443474"
"75","chr10_10355634_10355922"
"76","chr10_103664417_103664448"
"77","chr10_10408099_10408647"
"78","chr10_104209666_104210969"
"79","chr10_104220679_104221011"
"80","chr10_104367179_104367598"
"81","chr10_104387969_104388130"
"82","chr10_104456313_104456386"
"83","chr10_104661703_104662010"
"84","chr10_104685906_104687034"
"85","chr10_10468698_10469124"
"86","chr10_104695005_104695367"
"87","chr10_10472105_10472772"
"88","chr10_104798743_104799461"
"89","chr10_10483388_10483666"
"90","chr10_105035004_105035341"
"91","chr10_105076832_105077356"
"92","chr10_105095773_105096224"
"93","chr10_105110360_105110526"
"94","chr10_105364497_105364835"
"95","chr10_105377652_105378159"
"96","chr10_105380491_105381536"
"97","chr10_105384217_105384270"
"98","chr10_105401949_105402966"
"99","chr10_105427505_105428402"
