,peak_id,gene_short_name
0,chr10_100015291_100017830,Kitl
1,chr10_100486534_100488209,Tmtc3
2,chr10_100588641_100589556,4930430F08Rik
3,chr10_100741247_100742505,Gm35722
4,chr10_101681379_101682124,Mgat4c
5,chr10_102158688_102159257,Mgat4c
6,chr10_102511934_102512015,Rassf9
7,chr10_103026814_103029423,Alx1
8,chr10_103235705_103236587,Lrriq1
9,chr10_103366977_103369690,Slc6a15
10,chr10_10472105_10472772,Adgb
11,chr10_105573396_105575735,Gm15663
12,chr10_105573396_105575735,Tmtc2
13,chr10_10557396_10558671,Rab32
14,chr10_105840548_105842058,Ccdc59
15,chr10_105840548_105842058,Mettl25
16,chr10_106468702_106471279,Ppfia2
17,chr10_106632053_106633191,Ppfia2
18,chr10_107123465_107124291,Acss3
19,chr10_107271441_107273298,Lin7a
20,chr10_108161063_108163533,Ppp1r12a
21,chr10_108331467_108333881,Pawr
22,chr10_109009929_109011902,Syt1
23,chr10_110600340_110600843,9230102K24Rik
24,chr10_110744589_110746133,E2f7
25,chr10_11081219_11082566,Grm1
26,chr10_110918405_110920947,Csrp2
27,chr10_111009048_111011797,Zdhhc17
28,chr10_111163818_111166199,Osbpl8
29,chr10_111297919_111299345,Bbs10
30,chr10_111472472_111474360,Nap1l1
31,chr10_11148771_11150472,Shprh
32,chr10_111505751_111508194,Phlda1
33,chr10_111972329_111973373,Krr1
34,chr10_112059878_112060579,Glipr1l1
35,chr10_112163159_112163819,Caps2
36,chr10_112269821_112272206,Kcnc2
37,chr10_11280207_11282593,Fbxo30
38,chr10_112928289_112929652,Atxn7l3b
39,chr10_11342915_11344307,Epm2a
40,chr10_114800517_114802904,Trhde
41,chr10_115184657_115185230,Tph2
42,chr10_115250582_115252163,Tbc1d15
43,chr10_115314340_115316622,Rab21
44,chr10_115361794_115363076,Tmem19
45,chr10_115382802_115386040,Thap2
46,chr10_115382802_115386040,Zfc3h1
47,chr10_115586831_115588215,Lgr5
48,chr10_116017625_116019620,Ptprr
49,chr10_116301314_116301818,Ptprb
50,chr10_116472833_116474949,Kcnmb4
51,chr10_116472833_116474949,Kcnmb4os2
52,chr10_116580473_116582481,Cnot2
53,chr10_116949071_116950975,4933412E12Rik
54,chr10_116949071_116950975,Rab3ip
55,chr10_117062875_117064679,Cct2
56,chr10_117147697_117149233,Frs2
57,chr10_117223542_117225021,Yeats4
58,chr10_117375427_117377903,Cpsf6
59,chr10_117628627_117630036,Cpm
60,chr10_117709763_117711483,Mdm2
61,chr10_117745407_117746875,Slc35e3
62,chr10_117792089_117793436,Nup107
63,chr10_117844803_117846903,Rap1b
64,chr10_118140978_118142574,Mdm1
65,chr10_118867337_118870945,Dyrk2
66,chr10_119238773_119241210,Cand1
67,chr10_119452966_119456012,Grip1
68,chr10_119761519_119762629,Grip1os2
69,chr10_119818346_119820108,Grip1
70,chr10_120112226_120113536,Helb
71,chr10_120201050_120202552,Irak3
72,chr10_120208413_120209511,Tmbim4
73,chr10_120226606_120227852,Llph
74,chr10_120474310_120478487,Hmga2
75,chr10_120857455_120858091,Gm15910
76,chr10_120898450_120900738,Msrb3
77,chr10_120977277_120980186,Lemd3
78,chr10_121033031_121034595,Wif1
